ID,Giocatore,Posizione,Squadra,Mediavoto
336,De Silvestri,D,Bologna,6.1
337,De Vrij,D,Inter,6.17
338,De Winter,D,Milan,5.93
339,Delprato,D,Parma,5.9
340,Dembelè A.,D,Torino,5.0
341,Denoon,D,Pisa,5.5
342,Di Lorenzo,D,Napoli,6.07
343,Di Pardo,D,Cagliari,5.5
344,Diego Carlos,D,Como,6.13
345,Dimarco,D,Inter,6.78
346,Djimsiti,D,Atalanta,5.82
347,Dodò,D,Fiorentina,5.9
348,Doig,D,Sassuolo,5.87
349,Dossena,D,Cagliari,5.0
350,Dumfries,D,Inter,6.0
351,Ebosse,D,Torino,5.5
352,Edmundsson,D,Verona,6.75
353,Ehizibue,D,Udinese,5.64
354,Estupinan,D,Milan,5.67
355,Faye,D,Cremonese,5.75
356,Floriani Mussolini,D,Cremonese,5.73
357,Folino,D,Cremonese,6.0
358,Fortini,D,Fiorentina,5.96
359,Frese,D,Verona,5.79
360,Gabbia,D,Milan,5.95
361,Gallo,D,Lecce,5.94
362,Garcia U.,D,Sassuolo,6.25
363,Gaspar K.,D,Lecce,5.8
364,Gatti,D,Juventus,5.91
365,Ghilardi,D,Roma,6.06
366,Gila,D,Lazio,5.98
367,Goglichidze,D,Udinese,5.75
368,Gosens,D,Fiorentina,5.94
369,Gutierrez,D,Napoli,5.8
370,Heggem,D,Bologna,5.86
371,Hermoso,D,Roma,6.15
372,Hien,D,Atalanta,5.88
373,Holm,D,Juventus,6.09
374,Hysaj,D,Lazio,5.5
375,Idrissi R.,D,Cagliari,5.9
376,Idzes,D,Sassuolo,5.92
377,Ismajli,D,Torino,5.83
378,Jimenez A.,D,Milan,5.5
379,Joao Mario,D,Bologna,5.83
380,Juan Jesus,D,Napoli,5.8
381,Kabasele,D,Udinese,6.06
382,Kalulu,D,Juventus,6.14
383,Kamara H.,D,Udinese,5.87
384,Kelly L.,D,Juventus,6.05
385,Kempf,D,Como,6.19
386,Kolasinac,D,Atalanta,6.21
387,Kossounou,D,Atalanta,6.0
388,Kouadio,D,Fiorentina,6.0
389,Kouassi,D,Lecce,5.5
390,Kristensen T.,D,Udinese,5.83
391,Lamptey,D,Fiorentina,6.0
392,Lazaro,D,Torino,5.71
393,Lazzari,D,Lazio,5.81
394,Lirola,D,Verona,5.62
395,Lovik,D,Parma,5.58
396,Lucumì,D,Bologna,5.81
397,Luperto,D,Cremonese,5.93
398,Lykogiannis,D,Bologna,5.62
399,Mancini,D,Roma,6.19
400,Marcandalli,D,Genoa,5.94
401,Marianucci,D,Torino,5.6
402,Maripan,D,Torino,5.96
403,Martin,D,Genoa,5.98
404,Marusic,D,Lazio,5.85
405,Marì,D,Fiorentina,5.45
406,Masina,D,Torino,5.38
407,Mateus Lusuardi,D,Pisa,5.83
408,Mazzocchi,D,Napoli,5.75
409,Mina,D,Cagliari,6.03
410,Miranda J.,D,Bologna,5.95
411,Moreno Alb.,D,Como,6.06
412,Muharemovic,D,Sassuolo,5.8
413,N'Dicka,D,Roma,6.08
414,Ndaba,D,Lecce,5.83
415,Ndiaye,D,Parma,5.36
416,Nelsson,D,Verona,5.62
417,Nkounkou,D,Torino,5.75
418,Norton-Cuffy,D,Genoa,5.89
419,Obert,D,Cagliari,5.86
420,Obrador,D,Torino,5.83
421,Olivera,D,Napoli,5.62
422,Ostigard,D,Genoa,6.05
423,Otoa,D,Genoa,5.57
424,Oyegoke,D,Verona,5.0
425,Palestra,D,Cagliari,6.41
426,Palma,D,Udinese,5.5
427,Parisi,D,Fiorentina,6.06
428,Patric,D,Lazio,5.75
429,Pavard,D,Inter,6.5
430,Pavlovic,D,Milan,6.25
431,Pedersen,D,Torino,5.75
432,Pellegrini Lu.,D,Lazio,5.87
433,Perez M.,D,Lecce,5.0
434,Pezzella Giu.,D,Cremonese,5.68
435,Pongracic,D,Fiorentina,5.76
436,Posch,D,Como,6.06
437,Provstgaard,D,Lazio,6.05
438,Ramon,D,Como,6.24
439,Ranieri L.,D,Fiorentina,5.82
440,Rensch,D,Roma,6.06
441,Rodriguez Ju.,D,Cagliari,5.64
442,Romagna,D,Sassuolo,5.5
443,Romagnoli,D,Lazio,6.02
444,Rrahmani,D,Napoli,6.16
445,Rugani,D,Fiorentina,5.88
446,Rui Modesto,D,Udinese,5.75
447,Sabelli,D,Genoa,5.8
448,Scalvini,D,Atalanta,6.21
449,Siebert,D,Lecce,5.5
450,Slotsager,D,Verona,5.7
451,Smolcic I.,D,Como,5.9
452,Solet,D,Udinese,6.08
453,Spinazzola,D,Napoli,6.32
454,Tavares N.,D,Lazio,5.68
455,Terracciano F.,D,Cremonese,5.96
456,Tiago Gabriel,D,Lecce,5.96
457,Tomori,D,Milan,6.02
458,Troilo,D,Parma,5.44
459,Tsimikas,D,Roma,5.83
460,Unai Nunez,D,Verona,5.85
461,Valenti,D,Parma,5.94
462,Valentini N.,D,Verona,5.68
463,Valeri,D,Parma,6.02
464,Valle,D,Como,6.08
465,Van Der Brempt,D,Como,6.0
466,Vasquez,D,Genoa,6.06
467,Veiga D.,D,Lecce,5.82
468,Viti,D,Fiorentina,5.58
469,Vitik,D,Bologna,5.92
470,Vojvoda,D,Como,6.05
471,Walukiewicz,D,Sassuolo,5.77
472,Wesley,D,Roma,6.13
473,Zanoli,D,Udinese,6.05
474,Zappa,D,Cagliari,5.92
475,Zappacosta,D,Atalanta,6.02
476,Zemura,D,Udinese,5.86
477,Ziolkowski,D,Roma,6.07
478,Zortea,D,Bologna,5.84
479,Zè Pedro,D,Cagliari,5.56
480,Audero,P,Cremonese,6.26
481,Bijlow,P,Genoa,6.0
482,Butez,P,Como,6.1
483,Caprile,P,Cagliari,6.35
484,Carnesecchi,P,Atalanta,6.44
485,Corvi,P,Parma,6.12
486,De Gea,P,Fiorentina,6.18
487,Di Gregorio,P,Juventus,6.11
488,Falcone,P,Lecce,6.46
489,Israel,P,Torino,5.89
490,Leali,P,Genoa,6.15
491,Maignan,P,Milan,6.39
492,Martinez Jo.,P,Inter,6.25
493,Meret,P,Napoli,6.14
494,Milinkovic-Savic V.,P,Napoli,6.17
495,Montipò,P,Verona,6.16
496,Muric,P,Sassuolo,6.04
497,Nicolas,P,Pisa,6.0
498,Okoye,P,Udinese,5.94
499,Padelli,P,Udinese,6.25
500,Paleari,P,Torino,6.19
501,Perilli,P,Verona,6.17
502,Perin,P,Juventus,6.0
503,Pessina Mas.,P,Bologna,6.0
504,Provedel,P,Lazio,6.28
505,Ravaglia F.,P,Bologna,6.27
506,Rinaldi,P,Parma,7.0
507,Sava,P,Udinese,5.57
508,Scuffet,P,Pisa,6.21
509,Semper,P,Pisa,6.18
510,Silvestri,P,Cremonese,6.38
511,Skorupski,P,Bologna,6.08
512,Sommariva,P,Genoa,5.75
513,Sommer,P,Inter,5.91
514,Suzuki,P,Parma,6.0
515,Svilar,P,Roma,6.3
516,Terracciano,P,Milan,6.0
517,Turati,P,Sassuolo,5.5
