#	Giocatore	Pos	Squadra	Presenze	Titolare	Minuti	Goal	Goal Rig	Ass	Gialli	Rossi	Clean Sheet
254	R. Piccoli	Att	FIO	6	4	376	1	0	0	0	0	1
255	R. Sottil	Cen	LEC	7	5	369	0	0	0	1	0	1
256	S. Serdar	Cen	VER	8	3	258	0	0	0	0	0	0
257	D. Johnsen	Att	CRE	5	3	256	1	0	0	0	0	1
258	J. Siebert	Dif	LEC	4	4	360	0	0	0	0	0	1
259	P. Estupinan	Dif	MIL	4	3	230	0	0	0	1	0	2
260	C. Ekuban	Att	GEN	5	2	189	1	0	0	0	0	0
261	L. Openda	Att	JUV	7	2	230	1	0	0	0	0	1
262	S. El Shaarawy	Att	ROM	6	1	202	0	0	1	1	0	1
263	S. Kolasinac	Dif	ATA	4	4	273	0	0	0	1	0	1
264	R. Freuler	Cen	BOL	6	5	384	0	0	1	1	0	0
265	D. Zapata	Att	TOR	7	3	264	0	0	1	0	0	1
266	M. Marin	Cen	PIS	6	4	276	0	0	0	2	0	0
267	J. Lucumi	Dif	BOL	4	4	242	0	0	0	0	0	0
268	J. Ekhator	Att	GEN	7	1	159	1	0	0	1	0	0
269	Al Musrati	Cen	VER	5	4	261	0	0	1	2	0	0
270	N. Fullkrug	Att	MIL	6	1	172	1	0	0	0	0	0
271	A. Caracciolo	Dif	PIS	6	5	465	0	0	0	2	0	0
272	M. Brescianini	Cen	FIO	5	0	95	1	0	0	0	0	0
273	A. Bonny	Att	INT	5	1	96	1	0	0	0	0	0
274	Kialonda Gaspar	Dif	LEC	4	4	360	0	0	0	2	1	1
275	P. Sucic	Cen	INT	7	3	234	0	0	0	0	0	1
276	T. Basic	Cen	LAZ	4	4	287	0	0	0	0	1	2
277	J. Cabal	Dif	JUV	4	0	92	1	0	0	0	0	0
278	M. Folorunsho	Cen	CAG	2	2	153	1	0	0	0	0	0
279	D. Bradaric	Dif	VER	6	6	497	0	0	0	1	0	1
280	C. Ngonge	Att	TOR	7	3	250	0	0	0	0	0	0
281	A. Njie	Att	TOR	4	1	71	1	0	1	0	0	0
282	G. Piccinini	Cen	PIS	6	2	283	0	0	0	0	0	0
283	L. Ranieri	Dif	FIO	6	3	247	0	0	0	1	0	1
284	M. Troilo	Dif	PAR	3	2	205	0	0	0	1	0	1
285	Z. Aboukhlal	Att	TOR	5	4	277	0	0	0	2	0	1
286	D. Malen	Att	ROM	2	2	145	1	0	0	0	0	1
287	Y. Fofana	Cen	MIL	5	3	230	0	0	1	1	0	1
288	F. Kostic	Cen	JUV	4	0	56	1	0	0	0	0	0
289	A. Calabresi	Dif	PIS	7	5	431	0	0	0	4	0	0
290	Unai Nunez	Dif	VER	6	5	419	0	0	0	2	0	0
291	Junior Messias	Cen	GEN	3	0	60	1	0	0	0	0	0
292	A. Sanabria	Att	CRE	6	1	148	0	0	0	0	0	0
293	A. Jashari	Cen	MIL	4	2	171	0	0	0	0	0	1
294	F. Ceccherini	Dif	CRE	3	2	184	0	0	0	0	1	1
295	C. Ndaba	Dif	LEC	4	3	264	0	0	0	0	0	1
296	B. Dominguez	Att	BOL	4	2	180	0	0	2	1	0	0
297	M. Vitik	Dif	BOL	6	3	396	0	0	0	2	0	0
298	Pedro	Att	LAZ	4	1	106	1	1	0	1	0	1
299	T. Slotsager	Dif	VER	3	2	225	0	0	0	0	0	1
300	K. Asllani	Cen	TOR	3	3	253	0	0	0	0	0	2
301	R. Idrissi	Dif	CAG	7	1	269	0	0	0	1	0	0
302	M. Pedersen	Dif	TOR	5	4	407	0	0	0	2	0	2
303	M. Payero	Cen	CRE	4	4	344	0	0	0	2	0	0
304	F. Folino	Dif	CRE	5	2	192	0	0	0	0	0	1
305	N. Valentini	Dif	VER	5	3	310	0	0	0	1	0	0
306	M. Solomon	Cen	FIO	5	1	154	0	0	0	0	0	0
307	K. Tsimikas	Dif	ROM	4	1	138	0	0	0	0	0	1
308	Y. Mina	Dif	CAG	4	4	315	0	0	0	2	0	1
