ID,Giocatore,Posizione,Squadra,Assist
59,Bernabè,C,Parma,1
60,Bernardeschi,C,Bologna,1
61,Bernede,C,Verona,2
62,Calhanoglu,C,Inter,2
63,Caqueret,C,Como,2
64,Cataldi,C,Lazio,3
65,Conceicao,C,Juventus,1
66,Da Cunha,C,Como,1
67,De Roon,C,Atalanta,1
68,Deiola,C,Cagliari,1
69,El Aynaoui,C,Roma,1
70,El Shaarawy,C,Roma,2
71,Ellertsson,C,Genoa,1
72,Elmas,C,Napoli,2
73,Fadera,C,Sassuolo,1
74,Fagioli,C,Fiorentina,3
75,Felici,C,Cagliari,1
76,Fofana Y.,C,Milan,2
77,Freuler,C,Bologna,1
78,Gaetano,C,Cagliari,3
79,Gineitis,C,Torino,1
80,Gudmundsson A.,C,Fiorentina,3
81,Harrison,C,Fiorentina,1
82,Ilkhan,C,Torino,1
83,Isaksen,C,Lazio,1
84,Keita M.,C,Parma,1
85,Konè M.,C,Roma,1
86,Kostic,C,Juventus,1
87,Leris,C,Pisa,3
88,Locatelli,C,Juventus,1
89,Loftus-Cheek,C,Milan,1
90,Lovric,C,Verona,1
91,Luis Henrique,C,Inter,2
92,Maldini,C,Lazio,1
93,Malinovskyi,C,Genoa,3
94,Mandragora,C,Fiorentina,1
95,Matic,C,Sassuolo,1
96,Mazzitelli,C,Cagliari,2
97,McKennie,C,Juventus,4
98,McTominay,C,Napoli,2
99,Miretti,C,Juventus,1
100,Modric,C,Milan,3
101,Neres,C,Napoli,3
102,Niasse,C,Verona,1
103,Nicolussi Caviglia,C,Parma,3
104,Odgaard,C,Bologna,1
105,Orsolini,C,Bologna,1
106,Pasalic,C,Atalanta,3
107,Paz N.,C,Como,5
108,Perrone,C,Como,3
109,Pisilli,C,Roma,1
110,Pobega,C,Bologna,1
111,Politano,C,Napoli,3
112,Pulisic,C,Milan,2
113,Rabiot,C,Milan,4
114,Ricci S.,C,Milan,2
115,Rovella,C,Lazio,1
116,Rowe,C,Bologna,1
117,Saelemaekers,C,Milan,3
118,Sala A.,C,Lecce,1
119,Samardzic,C,Atalanta,2
120,Sohm,C,Bologna,1
121,Sottil,C,Lecce,1
122,Sucic P.,C,Inter,2
123,Tete Morente,C,Lecce,1
124,Thorsby,C,Cremonese,1
125,Thorstvedt,C,Sassuolo,1
126,Thuram K.,C,Juventus,1
127,Tramoni M.,C,Pisa,2
128,Vandeputte,C,Cremonese,4
129,Vazquez,C,Cremonese,2
130,Vecino,C,Lazio,1
131,Vlasic,C,Torino,3
132,Volpato,C,Sassuolo,4
133,Zalewski,C,Atalanta,3
134,Zambo Anguissa,C,Napoli,1
135,Zaniolo,C,Udinese,1
136,Zaragoza,C,Roma,1
137,Zerbin,C,Cremonese,2
138,Zielinski,C,Inter,1
139,Angori,D,Pisa,1
140,Athekame,D,Milan,1
141,Barbieri,D,Cremonese,1
142,Bastoni,D,Inter,4
143,Bellanova,D,Atalanta,1
144,Bernasconi,D,Atalanta,2
145,Bertola,D,Udinese,1
146,Bianchetti,D,Cremonese,1
147,Bisseck,D,Inter,2
148,Bremer,D,Juventus,2
149,Britschgi,D,Parma,2
150,Buongiorno,D,Napoli,1
151,Cambiaso,D,Juventus,3
152,Carlos Augusto,D,Inter,1
153,Celik,D,Roma,2
154,Coco,D,Torino,1
155,Di Lorenzo,D,Napoli,1
156,Dimarco,D,Inter,13
157,Dodò,D,Fiorentina,2
158,Estupinan,D,Milan,1
159,Garcia U.,D,Sassuolo,1
160,Holm,D,Juventus,4
161,Ismajli,D,Torino,2
162,Joao Mario,D,Bologna,1
163,Kalulu,D,Juventus,3
164,Kamara H.,D,Udinese,1
165,Lazaro,D,Torino,2
166,Luperto,D,Cremonese,1
167,Lykogiannis,D,Bologna,1
168,Mancini,D,Roma,2
169,Marcandalli,D,Genoa,1
170,Marianucci,D,Torino,1
171,Martin,D,Genoa,4
172,Marusic,D,Lazio,1
173,Masina,D,Torino,1
174,Muharemovic,D,Sassuolo,1
175,Nkounkou,D,Torino,1
176,Norton-Cuffy,D,Genoa,1
177,Obert,D,Cagliari,2
178,Palestra,D,Cagliari,4
179,Parisi,D,Fiorentina,1
180,Pezzella Giu.,D,Cremonese,1
181,Rensch,D,Roma,1
182,Rui Modesto,D,Udinese,1
183,Solet,D,Udinese,1
184,Spinazzola,D,Napoli,3
185,Tomori,D,Milan,1
186,Valeri,D,Parma,1
187,Valle,D,Como,2
188,Vojvoda,D,Como,1
189,Walukiewicz,D,Sassuolo,1
190,Zanoli,D,Udinese,2
191,Zappa,D,Cagliari,3
192,Zortea,D,Bologna,1
193,Meret,P,Napoli,1
