ID,Giocatore,Posizione,Squadra,Partite giocate
393,Lazzari,D,Lazio,13
394,Lirola,D,Verona,4
395,Lovik,D,Parma,6
396,Lucumì,D,Bologna,16
397,Luperto,D,Cremonese,21
398,Lykogiannis,D,Bologna,8
399,Mancini,D,Roma,24
400,Marcandalli,D,Genoa,18
401,Marianucci,D,Torino,5
402,Maripan,D,Torino,23
403,Martin,D,Genoa,21
404,Marusic,D,Lazio,23
405,Marì,D,Fiorentina,10
406,Masina,D,Torino,4
407,Mateus Lusuardi,D,Pisa,3
408,Mazzocchi,D,Napoli,4
409,Mina,D,Cagliari,15
410,Miranda J.,D,Bologna,20
411,Moreno Alb.,D,Como,9
412,Muharemovic,D,Sassuolo,22
413,N'Dicka,D,Roma,20
414,Ndaba,D,Lecce,6
415,Ndiaye,D,Parma,7
416,Nelsson,D,Verona,24
417,Nkounkou,D,Torino,6
418,Norton-Cuffy,D,Genoa,23
419,Obert,D,Cagliari,21
420,Obrador,D,Torino,3
421,Olivera,D,Napoli,12
422,Ostigard,D,Genoa,19
423,Otoa,D,Genoa,7
424,Oyegoke,D,Verona,2
425,Palestra,D,Cagliari,23
426,Palma,D,Udinese,4
427,Parisi,D,Fiorentina,16
428,Patric,D,Lazio,2
429,Pavard,D,Inter,1
430,Pavlovic,D,Milan,20
431,Pedersen,D,Torino,18
432,Pellegrini Lu.,D,Lazio,19
433,Perez M.,D,Lecce,1
434,Pezzella Giu.,D,Cremonese,19
435,Pongracic,D,Fiorentina,23
436,Posch,D,Como,8
437,Provstgaard,D,Lazio,10
438,Ramon,D,Como,21
439,Ranieri L.,D,Fiorentina,19
440,Rensch,D,Roma,8
441,Rodriguez Ju.,D,Cagliari,7
442,Romagna,D,Sassuolo,3
443,Romagnoli,D,Lazio,21
444,Rrahmani,D,Napoli,16
445,Rugani,D,Fiorentina,4
446,Rui Modesto,D,Udinese,2
447,Sabelli,D,Genoa,5
448,Scalvini,D,Atalanta,12
449,Siebert,D,Lecce,6
450,Slotsager,D,Verona,5
451,Smolcic I.,D,Como,15
452,Solet,D,Udinese,25
453,Spinazzola,D,Napoli,20
454,Tavares N.,D,Lazio,11
455,Terracciano F.,D,Cremonese,24
456,Tiago Gabriel,D,Lecce,23
457,Tomori,D,Milan,20
458,Troilo,D,Parma,9
459,Tsimikas,D,Roma,9
460,Unai Nunez,D,Verona,17
461,Valenti,D,Parma,18
462,Valentini N.,D,Verona,11
463,Valeri,D,Parma,21
464,Valle,D,Como,18
465,Van Der Brempt,D,Como,6
466,Vasquez,D,Genoa,25
467,Veiga D.,D,Lecce,22
468,Viti,D,Fiorentina,6
469,Vitik,D,Bologna,12
470,Vojvoda,D,Como,20
471,Walukiewicz,D,Sassuolo,24
472,Wesley,D,Roma,23
473,Zanoli,D,Udinese,19
474,Zappa,D,Cagliari,19
475,Zappacosta,D,Atalanta,22
476,Zemura,D,Udinese,11
477,Ziolkowski,D,Roma,7
