ID,Giocatore,Posizione,Squadra,Ammonizioni
362,Falcone,P,Lecce,2
363,Israel,P,Torino,1
364,Leali,P,Genoa,2
365,Maignan,P,Milan,3
366,Meret,P,Napoli,1
367,Muric,P,Sassuolo,4
368,Paleari,P,Torino,1
369,Provedel,P,Lazio,1
370,Ravaglia F.,P,Bologna,3
371,Rinaldi,P,Parma,1
372,Sava,P,Udinese,1
373,Skorupski,P,Bologna,1
374,Suzuki,P,Parma,1
