Team,Giocatore,Ruolo,Squadra,PrezzoAcquisto,PrezzoAttuale
SerSi-FC,Gueye,A,Udi,1,1
Boiali,Terracciano,P,Mil,1,1
Boiali,Maignan,P,Mil,16,16
Boiali,Torriani,P,Mil,1,1
Boiali,Vasquez,D,Gen,9,9
Boiali,Ghilardi,D,Rom,4,4
Boiali,Frese,D,Ver,3,3
Boiali,Delprato,D,Par,8,8
Boiali,Ramon,D,Com,4,4
Boiali,Tiago Gabriel,D,Lec,1,1
Boiali,Canestrelli,D,Pis,3,3
Boiali,Zaccagni,C,Laz,24,24
Boiali,Zaniolo,C,Udi,15,15
Boiali,McTominay,C,Nap,25,25
Boiali,Tramoni M.,C,Pis,12,12
Boiali,Zerbin,C,Cre,3,3
Boiali,Ilkhan,C,Tor,1,1
Boiali,Paz N.,C,Com,20,20
Boiali,Atta,C,Udi,6,6
Boiali,Kean,A,Fio,33,33
Boiali,Martinez L.,A,Int,34,34
Boiali,Vlahovic,A,Juv,21,21
Boiali,Banda,A,Lec,5,5
Boiali,Giovane,A,Nap,1,1
CuginiDiCampagna,Sportiello,P,Ata,1,1
CuginiDiCampagna,Rossi F.,P,Ata,1,1
CuginiDiCampagna,Carnesecchi,P,Ata,14,14
CuginiDiCampagna,Angelino,D,Rom,15,15
CuginiDiCampagna,Cambiaso,D,Juv,15,15
CuginiDiCampagna,Pongracic,D,Fio,4,4
CuginiDiCampagna,Frese,D,Ver,3,3
CuginiDiCampagna,Ramon,D,Com,4,4
CuginiDiCampagna,Tiago Gabriel,D,Lec,1,1
CuginiDiCampagna,Muharemovic,D,Sas,4,4
CuginiDiCampagna,Orsolini,C,Bol,30,30
CuginiDiCampagna,Pulisic,C,Mil,28,28
CuginiDiCampagna,Zaniolo,C,Udi,11,11
CuginiDiCampagna,Adopo,C,Cag,5,5
CuginiDiCampagna,Asllani,C,Tor,4,4
CuginiDiCampagna,Zerbin,C,Cre,3,3
CuginiDiCampagna,Marchwinski,C,Lec,1,1
CuginiDiCampagna,Collocolo,C,Cre,8,8
CuginiDiCampagna,Bonazzoli,A,Cre,1,1
CuginiDiCampagna,Pinamonti,A,Sas,17,17
CuginiDiCampagna,Kean,A,Fio,33,33
CuginiDiCampagna,Esposito Se.,A,Cag,7,7
CuginiDiCampagna,David,A,Juv,16,16
Mapoitta,Milinkovic-Savic V.,P,Nap,4,4
Mapoitta,Ravaglia F.,P,Bol,3,3
Mapoitta,Semper,P,Pis,3,3
Mapoitta,Zappacosta,D,Ata,13,13
Mapoitta,Gosens,D,Fio,18,18
Mapoitta,Bellanova,D,Ata,10,10
Mapoitta,Vojvoda,D,Com,6,6
Mapoitta,Cambiaso,D,Juv,15,15
Mapoitta,Valeri,D,Par,10,10
Mapoitta,Tiago Gabriel,D,Lec,1,1
Mapoitta,Politano,C,Nap,15,15
Mapoitta,Malinovskyi,C,Gen,8,8
Mapoitta,McTominay,C,Nap,26,26
Mapoitta,Saelemaekers,C,Mil,18,18
Mapoitta,Akpa Akpro,C,Ver,1,1
Mapoitta,Moro N.,C,Bol,3,3
Mapoitta,Marchwinski,C,Lec,1,1
Mapoitta,Paz N.,C,Com,20,20
Mapoitta,Vlahovic,A,Juv,21,21
Mapoitta,Leao,A,Mil,26,26
Mapoitta,Thuram,A,Int,31,31
Mapoitta,Benedyczak,A,Par,1,1
Mapoitta,Ekhator,A,Gen,1,1
Lunarossa,Sportiello,P,Ata,1,1
Lunarossa,Sommer,P,Int,16,16
Lunarossa,Martinez Jo.,P,Int,2,2
Lunarossa,Mina,D,Cag,7,7
Lunarossa,Lazaro,D,Tor,7,7
Lunarossa,Vojvoda,D,Com,6,6
Lunarossa,Tavares N.,D,Laz,12,12
Lunarossa,Terracciano F.,D,Cre,2,2
Lunarossa,Tiago Gabriel,D,Lec,1,1
Lunarossa,Wesley,D,Rom,14,14
Lunarossa,Pulisic,C,Mil,28,28
Lunarossa,Elmas,C,Nap,11,11
Lunarossa,McTominay,C,Nap,26,26
Lunarossa,Saelemaekers,C,Mil,12,12
Lunarossa,Zerbin,C,Cre,3,3
Lunarossa,Ilkhan,C,Tor,1,1
Lunarossa,Paz N.,C,Com,28,28
Lunarossa,Stanciu *,C,Gen,8,8
Lunarossa,Kean,A,Fio,31,31
Lunarossa,Martinez L.,A,Int,27,27
Lunarossa,Leao,A,Mil,23,23
Lunarossa,Benedyczak,A,Par,1,1
