Team,Giocatore,Ruolo,Squadra,PrezzoAcquisto,PrezzoAttuale
SerSi-FC,Adopo,C,Cagliari,5,6
SerSi-FC,Maldini,C,Atalanta,3,3
SerSi-FC,Paz N.,C,Como,21,30
SerSi-FC,Atta,C,Udinese,6,16
SerSi-FC,Scamacca,A,Atalanta,16,22
SerSi-FC,Hojlund,A,Napoli,24,25
SerSi-FC,Douvikas,A,Como,24,21
SerSi-FC,Gueye,A,Udinese,1,2
SerSi-FC,Stojilkovic,A,Pis,4,4
Boiali,Terracciano,P,Milan,1,1
Boiali,Maignan,P,Milan,16,20
Boiali,Torriani,P,Milan,1,1
Boiali,Vasquez,D,Genoa,9,10
Boiali,Ghilardi,D,Roma,4,4
Boiali,Frese,D,Verona,3,6
Boiali,Delprato,D,Parma,8,9
Boiali,Ramon,D,Como,4,12
Boiali,Tiago Gabriel,D,Lecce,1,9
Boiali,Canestrelli,D,Pisa,3,5
Boiali,Zaccagni,C,Lazio,24,14
Boiali,Zaniolo,C,Udinese,15,20
Boiali,McTominay,C,Napoli,25,25
Boiali,Tramoni M.,C,Pisa,12,9
Boiali,Zerbin,C,Cremonese,3,6
Boiali,Ilkhan,C,Torino,1,2
Boiali,Paz N.,C,Como,20,30
Boiali,Atta,C,Udinese,6,16
Boiali,Kean,A,Fiorentina,33,18
Boiali,Martinez L.,A,Inter,34,34
Boiali,Vlahovic,A,Juventus,21,15
Boiali,Banda,A,Lecce,5,11
Boiali,Giovane,A,Napoli,1,17
CuginiDiCampagna,Sportiello,P,Atalanta,1,1
CuginiDiCampagna,Rossi F.,P,Atalanta,1,1
CuginiDiCampagna,Carnesecchi,P,Atalanta,14,17
CuginiDiCampagna,Angelino,D,Roma,15,7
CuginiDiCampagna,Cambiaso,D,Juventus,15,10
CuginiDiCampagna,Pongracic,D,Fiorentina,4,5
CuginiDiCampagna,Frese,D,Verona,3,6
CuginiDiCampagna,Ramon,D,Como,4,12
CuginiDiCampagna,Tiago Gabriel,D,Lecce,1,9
CuginiDiCampagna,Muharemovic,D,Sassuolo,4,7
CuginiDiCampagna,Orsolini,C,Bologna,30,24
CuginiDiCampagna,Pulisic,C,Milan,28,31
CuginiDiCampagna,Zaniolo,C,Udinese,11,20
CuginiDiCampagna,Adopo,C,Cagliari,5,6
CuginiDiCampagna,Asllani *,C,Torino,4,3
CuginiDiCampagna,Zerbin,C,Cremonese,3,6
CuginiDiCampagna,Marchwinski,C,Lecce,1,1
CuginiDiCampagna,Collocolo,C,Cremonese,8,2
CuginiDiCampagna,Bonazzoli,A,Cremonese,1,20
CuginiDiCampagna,Pinamonti,A,Sassuolo,17,14
CuginiDiCampagna,Kean,A,Fiorentina,33,18
CuginiDiCampagna,Esposito Se.,A,Cagliari,7,16
CuginiDiCampagna,David,A,Juventus,16,13
Mapoitta,Milinkovic-Savic V.,P,Napoli,4,19
Mapoitta,Ravaglia F.,P,Bologna,3,12
Mapoitta,Semper,P,Pisa,3,9
Mapoitta,Zappacosta,D,Atalanta,13,8
Mapoitta,Gosens,D,Fiorentina,18,10
Mapoitta,Bellanova,D,Atalanta,10,6
Mapoitta,Vojvoda,D,Como,6,12
Mapoitta,Cambiaso,D,Juventus,15,10
Mapoitta,Valeri,D,Parma,10,10
Mapoitta,Tiago Gabriel,D,Lecce,1,9
Mapoitta,Politano,C,Napoli,15,11
Mapoitta,Malinovskyi,C,Genoa,8,12
Mapoitta,McTominay,C,Napoli,26,25
Mapoitta,Saelemaekers,C,Milan,18,19
Mapoitta,Akpa Akpro,C,Verona,1,2
Mapoitta,Moro N.,C,Bologna,3,8
Mapoitta,Marchwinski,C,Lecce,1,1
Mapoitta,Paz N.,C,Como,20,30
Mapoitta,Vlahovic,A,Juventus,21,15
Mapoitta,Leao,A,Milan,26,30
Mapoitta,Thuram,A,Inter,31,29
Mapoitta,Benedyczak *,A,Parma,1,8
Mapoitta,Ekhator,A,Genoa,1,10
Lunarossa,Sportiello,P,Atalanta,1,1
Lunarossa,Sommer,P,Inter,16,14
Lunarossa,Martinez Jo.,P,Inter,2,1
Lunarossa,Mina,D,Cagliari,7,8
Lunarossa,Lazaro,D,Torino,7,7
Lunarossa,Vojvoda,D,Como,6,12
Lunarossa,Tavares N.,D,Lazio,12,6
Lunarossa,Terracciano F.,D,Cremonese,2,11
Lunarossa,Tiago Gabriel,D,Lecce,1,9
Lunarossa,Wesley,D,Roma,14,16
Lunarossa,Pulisic,C,Milan,28,31
Lunarossa,Elmas,C,Napoli,11,6
Lunarossa,McTominay,C,Napoli,26,25
Lunarossa,Saelemaekers,C,Milan,12,19
Lunarossa,Zerbin,C,Cremonese,3,6
Lunarossa,Ilkhan,C,Torino,1,2
Lunarossa,Paz N.,C,Como,28,30
Lunarossa,Stanciu *,C,Genoa,8,1
Lunarossa,Kean,A,Fiorentina,31,18
Lunarossa,Martinez L.,A,Inter,27,34
Lunarossa,Leao,A,Milan,23,30
Lunarossa,Benedyczak *,A,Parma,1,8
Lunarossa,Aboukhlal,A,Torino,4,3
EquipoA,Milinkovic-Savic V.,P,Napoli,4,19
EquipoA,De Gea,P,Fiorentina,14,11
EquipoA,Martinelli T. *,P,Fiorentina,1,1
EquipoA,Zappacosta,D,Atalanta,9,8
EquipoA,Rrahmani,D,Napoli,7,13
EquipoA,Nkounkou,D,Torino,4,2
EquipoA,Dumfries,D,Inter,20,10
EquipoA,Zemura,D,Udinese,3,2
EquipoA,Palestra,D,Cagliari,4,15
EquipoA,Ramon,D,Como,5,12
EquipoA,Orsolini,C,Bologna,30,24
EquipoA,Pulisic,C,Milan,28,31
EquipoA,Zerbin,C,Cremonese,3,6
EquipoA,Ilkhan,C,Torino,1,2
EquipoA,Ndour,C,Fiorentina,2,6
EquipoA,Kaba *,C,Lecce,2,3
EquipoA,Paz N.,C,Como,21,30
EquipoA,Atta,C,Udinese,6,16
EquipoA,Berardi,A,Sassuolo,24,21
EquipoA,Martinez L.,A,Inter,34,34
EquipoA,Leao,A,Milan,23,30
EquipoA,Cancellieri,A,Lazio,3,14
EquipoA,Rodriguez Je.,A,Como,6,12
I COMPARI,Radunovic *,P,Cagliari,1,1
I COMPARI,Milinkovic-Savic V.,P,Napoli,4,19
I COMPARI,Caprile,P,Cagliari,7,12
I COMPARI,Martin,D,Genoa,10,14
I COMPARI,Bellanova,D,Atalanta,13,6
I COMPARI,Estupinan,D,Milan,6,3
I COMPARI,Terracciano F.,D,Cremonese,2,11
I COMPARI,Valeri,D,Parma,10,10
I COMPARI,Dembelè A. *,D,Torino,1,1
I COMPARI,Tiago Gabriel,D,Lecce,2,9
I COMPARI,Barella,C,Inter,14,17
I COMPARI,Pulisic,C,Milan,28,31
I COMPARI,McTominay,C,Napoli,26,25
I COMPARI,Akpa Akpro,C,Verona,1,2
I COMPARI,Tramoni M.,C,Pisa,12,9
I COMPARI,Kaba *,C,Lecce,1,3
I COMPARI,Adzic,C,Juventus,1,3
I COMPARI,Paz N.,C,Como,20,30
I COMPARI,Pavoletti,A,Cagliari,2,1
I COMPARI,Martinez L.,A,Inter,27,34
I COMPARI,Leao,A,Milan,26,30
I COMPARI,Soulè,A,Roma,20,26
I COMPARI,Giovane,A,Napoli,1,17
SMOG,Perin,P,Juventus,1,3
SMOG,Meret,P,Napoli,16,8
SMOG,Milinkovic-Savic V.,P,Napoli,4,19
SMOG,Martin,D,Genoa,10,14
SMOG,Cambiaso,D,Juventus,15,10
SMOG,Terracciano F.,D,Cremonese,2,11
SMOG,Ehizibue,D,Udinese,4,3
SMOG,Delprato,D,Parma,8,9
SMOG,Kempf,D,Como,5,14
SMOG,Canestrelli,D,Pisa,3,5
SMOG,Politano,C,Napoli,16,11
SMOG,Modric,C,Milan,12,19
SMOG,Odgaard,C,Bologna,16,18
SMOG,Zaniolo,C,Udinese,15,20
SMOG,Gudmundsson A.,C,Fiorentina,24,17
SMOG,Marchwinski,C,Lecce,1,1
SMOG,Paz N.,C,Como,20,30
SMOG,Tourè I.,C,Pisa,6,10
SMOG,Kean,A,Fiorentina,31,18
SMOG,Vlahovic,A,Juventus,21,15
SMOG,Esposito Se.,A,Cagliari,7,16
SMOG,Giovane,A,Napoli,3,17
SMOG,Kilicsoy,A,Cagliari,3,12
CLAN,Perin,P,Juventus,1,3
CLAN,Silvestri,P,Cremonese,1,1
CLAN,Di Gregorio,P,Juventus,16,16
CLAN,Cuadrado,D,Pisa,7,8
CLAN,Lazaro,D,Torino,7,7
CLAN,Gutierrez,D,Napoli,7,3
CLAN,Tavares N.,D,Lazio,12,6
CLAN,Comuzzo,D,Fiorentina,7,7
CLAN,Canestrelli,D,Pisa,3,5
CLAN,Wesley,D,Roma,14,16
CLAN,Bernardeschi,C,Bologna,9,5
CLAN,Zaccagni,C,Lazio,26,14
CLAN,Modric,C,Milan,12,19
CLAN,Malinovskyi,C,Genoa,7,12
CLAN,McTominay,C,Napoli,26,25
CLAN,Zalewski,C,Atalanta,6,15
CLAN,Asllani *,C,Torino,4,3
CLAN,Folorunsho,C,Cagliari,9,8
CLAN,Zapata D.,A,Torino,10,7
CLAN,Esposito Se.,A,Cagliari,7,16
CLAN,Lookman *,A,Atalanta,19,14
CLAN,Thuram,A,Inter,31,29
CLAN,Rodriguez Je.,A,Como,6,12
Evergreen,Lezzerini,P,Fiorentina,1,1
Evergreen,Gollini,P,Roma,1,1
Evergreen,De Gea,P,Fiorentina,14,11
Evergreen,Pezzella Giu.,D,Cremonese,6,4
Evergreen,Buongiorno,D,Napoli,13,10
Evergreen,Dumfries,D,Inter,20,10
Evergreen,Kossounou,D,Atalanta,9,8
Evergreen,Ostigard,D,Genoa,9,15
Evergreen,Posch *,D,Como,7,9
Evergreen,Paz Y. *,D,Sassuolo,1,1
Evergreen,Politano,C,Napoli,16,11
Evergreen,Zalewski,C,Atalanta,6,15
Evergreen,Harroui,C,Verona,7,2
Evergreen,Gudmundsson A.,C,Fiorentina,17,17
Evergreen,Ilkhan,C,Torino,1,2
Evergreen,Paz N.,C,Como,20,30
Evergreen,Sucic P.,C,Inter,9,11
Evergreen,Iannoni,C,Sassuolo,1,5
Evergreen,Pavoletti,A,Cagliari,1,1
Evergreen,Vardy,A,Cremonese,19,20
Evergreen,Thuram,A,Inter,31,29
Evergreen,Castro S.,A,Bologna,24,24
Evergreen,Ekhator,A,Genoa,1,10
Sciabolata Classica,Perin,P,Juventus,1,3
Sciabolata Classica,Gollini,P,Roma,1,1
Sciabolata Classica,Svilar,P,Roma,15,19
Sciabolata Classica,Rugani,D,Juventus,2,2
Sciabolata Classica,Martin,D,Genoa,10,14
Sciabolata Classica,Bellanova,D,Atalanta,13,6
Sciabolata Classica,Tavares N.,D,Lazio,12,6
