Giocatore,Squadra,Ruolo,PrezzoIniziale,PrezzoAttuale
Stulic,Lecce,A,13,7
Sulemana K.,Atalanta,A,9,11
Thuram,Inter,A,29,30
Trepy,Cagliari,A,1,1
Vardy,Cremonese,A,15,19
Vaz,Roma,A,10,9
Vitinha O.,Genoa,A,12,13
Vlahovic,Juventus,A,24,13
Yildiz,Juventus,A,24,30
Zapata D.,Torino,A,20,5
Adopo,Cagliari,C,5,7
Adzic,Juventus,C,1,3
Aebischer,Pisa,C,4,7
Akinsanmiro,Pisa,C,3,6
Akpa Akpro,Verona,C,1,1
Al-Musrati,Verona,C,4,4
Amorim,Genoa,C,5,4
Anjorin,Torino,C,10,4
Atta,Udinese,C,6,18
Bakola,Sassuolo,C,3,3
Baldanzi,Genoa,C,8,5
Barella,Inter,C,14,16
Basic,Lazio,C,1,12
Baturina,Como,C,9,17
Belahyane,Lazio,C,4,3
Berisha M.,Lecce,C,3,12
Bernabè,Parma,C,11,16
Bernardeschi,Bologna,C,9,5
Bernede,Verona,C,4,9
Boloca,Sassuolo,C,6,2
Bondo,Cremonese,C,3,6
Brescianini,Fiorentina,C,8,11
Calhanoglu,Inter,C,23,26
Caqueret,Como,C,12,12
Casadei,Torino,C,12,9
Cataldi,Lazio,C,5,15
Collocolo,Cremonese,C,8,2
Conceicao,Juventus,C,18,14
Cornet,Genoa,C,7,2
Coulibaly L.,Lecce,C,7,13
Cremaschi,Parma,C,5,1
Cristante,Roma,C,9,12
Da Cunha,Como,C,12,13
De Bruyne,Napoli,C,23,19
De Roon,Atalanta,C,12,9
Deiola,Cagliari,C,5,5
Dele-Bashiru,Lazio,C,11,3
Diouf,Inter,C,7,2
Ederson D.S.,Atalanta,C,15,11
Ekkelenkamp,Udinese,C,10,13
El Aynaoui,Roma,C,9,4
El Shaarawy,Roma,C,8,7
Ellertsson,Genoa,C,5,10
Elmas,Napoli,C,11,6
Estevez,Parma,C,2,4
Fabbian,Fiorentina,C,10,8
Fadera,Sassuolo,C,6,11
Fagioli,Fiorentina,C,8,8
Fazzini,Fiorentina,C,11,2
Felici,Cagliari,C,6,11
Ferguson,Bologna,C,11,6
Fofana Sa.,Lecce,C,1,1
Fofana Y.,Milan,C,11,10
Folorunsho,Cagliari,C,9,7
Frattesi,Inter,C,14,4
Frendrup,Genoa,C,9,10
Freuler,Bologna,C,11,5
Gaetano,Cagliari,C,8,13
Gagliardini,Verona,C,2,8
Gandelman,Lecce,C,6,8
Gilmour,Napoli,C,7,6
Gineitis,Torino,C,5,5
Gorter,Lecce,C,1,2
Grassi,Cremonese,C,4,5
Gudmundsson A.,Fiorentina,C,24,17
Harrison,Fiorentina,C,10,10
Harroui,Verona,C,7,3
Helgason,Lecce,C,8,2
Hojholt,Pisa,C,1,1
