name,team,role,tier,weight,score_auto,partite,mv,fm,is_new_arrival
Vlasic,Torino,C,semitop,0.753,0.665,24,6,6.67,0
Di Lorenzo,Napoli,D,semitop,0.748,0.665,23,6.07,6.22,0
Akanji,Inter,D,semitop,0.735,0.664,22,6.25,6.32,0
Orsolini,Bologna,C,semitop,0.739,0.661,22,6.11,6.93,0
Isaksen,Lazio,C,semitop,0.668,0.661,16,6.09,6.72,0
Cataldi,Lazio,C,semitop,0.737,0.658,22,6.07,6.5,0
Solet,Udinese,D,semitop,0.753,0.657,25,6.08,6.4,0
Sommer,Inter,P,semitop,0.742,0.657,23,5.91,5.04,0
Carlos Augusto,Inter,D,semitop,0.659,0.657,17,6.21,6.35,0
Vojvoda,Como,D,semitop,0.718,0.656,20,6.05,6.2,0
Malen,Roma,A,semitop,0.920,0.652,5,6.7,9.7,1
Thorsby,Cremonese,C,semitop,0.637,0.647,14,6.25,6.89,0
Ramon,Como,D,semitop,0.721,0.644,21,6.24,6.33,0
Berisha M.,Lecce,C,scommessa,0.602,0.642,12,6.17,6.92,0
Mandragora,Fiorentina,C,semitop,0.741,0.640,25,6.08,6.74,0
Malinovskyi,Genoa,C,semitop,0.724,0.640,23,6.13,6.74,0
Scalvini,Atalanta,D,semitop,0.604,0.640,12,6.21,6.62,0
Bernabè,Parma,C,semitop,0.740,0.639,25,6.18,6.58,0
Pellegrino M.,Parma,A,semitop,0.740,0.639,25,6.04,6.82,0
De Ketelaere,Atalanta,A,semitop,0.714,0.634,21,6.17,6.69,0
De Bruyne,Napoli,C,semitop,0.549,0.633,8,6.38,7.81,0
Bonazzoli,Cremonese,A,semitop,0.718,0.631,22,6.09,6.8,0
Zappacosta,Atalanta,D,semitop,0.717,0.631,22,6.02,6.11,0
Gudmundsson A.,Fiorentina,C,semitop,0.700,0.630,22,5.98,6.59,0
Zanoli,Udinese,D,semitop,0.667,0.630,19,6.05,6.29,0
Kilicsoy,Cagliari,A,starter,0.580,0.628,11,6.27,7.36,0
Orban G.,Verona,A,semitop,0.708,0.626,22,5.91,6.77,0
Da Cunha,Como,C,semitop,0.703,0.626,22,6.14,6.36,0
Ferguson E.,Roma,A,starter,0.611,0.626,14,6.11,6.86,0
Mazzitelli,Cagliari,C,starter,0.565,0.626,10,6.25,6.95,0
Ricci S.,Milan,C,semitop,0.664,0.624,18,6.14,6.42,0
Conceicao,Juventus,C,semitop,0.643,0.623,17,6.18,6.53,0
Konè I.,Sassuolo,C,semitop,0.703,0.620,22,6.16,6.61,0
Martin,Genoa,D,semitop,0.680,0.618,21,5.98,6.26,0
Pasalic,Atalanta,C,semitop,0.677,0.617,19,5.97,6.39,0
Holm,Juventus,D,semitop,0.567,0.616,11,6.09,6.59,0
Valle,Como,D,semitop,0.663,0.614,18,6.08,6.14,0
Giovane,Napoli,A,starter,0.714,0.612,24,6.02,6.56,0
Pellegrini Lo.,Roma,C,starter,0.635,0.612,17,6.06,6.53,0
Baschirotto,Cremonese,D,semitop,0.719,0.610,25,5.96,6.16,0
Laurientè,Sassuolo,A,starter,0.713,0.610,24,6.15,6.73,0
Gaetano,Cagliari,C,starter,0.690,0.610,22,6.02,6.34,0
Odgaard,Bologna,C,starter,0.631,0.610,16,5.91,6.69,0
David,Juventus,A,starter,0.677,0.607,21,5.81,6.48,0
Caqueret,Como,C,starter,0.630,0.605,17,6.15,6.41,0
Dovbyk,Roma,A,scommessa,0.573,0.605,12,6,6.83,0
Kean,Fiorentina,A,starter,0.697,0.603,22,5.91,6.84,0
Sucic P.,Inter,C,starter,0.644,0.603,18,6.14,6.33,0
Belghali,Verona,D,semitop,0.614,0.599,16,6.25,6.47,0
Volpato,Sassuolo,C,scommessa,0.570,0.597,12,6.25,6.75,0
Bernasconi,Atalanta,D,semitop,0.594,0.592,14,6.18,6.25,0
Simeone,Torino,A,starter,0.647,0.591,19,6,6.79,0
Locatelli,Juventus,C,starter,0.699,0.590,24,6.35,6.44,0
Maripan,Torino,D,semitop,0.688,0.590,23,5.96,6.15,0
Ostigard,Genoa,D,semitop,0.635,0.586,19,6.05,6.53,0
Caprile,Cagliari,P,semitop,0.695,0.585,24,6.35,4.94,0
Cambiaso,Juventus,D,semitop,0.679,0.585,23,5.8,5.96,0
Ekkelenkamp,Udinese,C,starter,0.657,0.585,21,6,6.4,0
Mancini,Roma,D,semitop,0.694,0.583,24,6.19,6.08,0
Kelly L.,Juventus,D,semitop,0.666,0.583,22,6.05,6.11,0
Basic,Lazio,C,starter,0.611,0.583,16,6.09,6.34,0
Thuram K.,Juventus,C,starter,0.669,0.579,22,6.14,6.32,0
Rrahmani,Napoli,D,semitop,0.604,0.579,16,6.16,6.25,0
Pinamonti,Sassuolo,A,starter,0.688,0.574,24,5.85,6.46,0
Kossounou,Atalanta,D,scommessa,0.553,0.569,12,6,6.21,0
Ederson D.S.,Atalanta,C,starter,0.667,0.568,21,6.17,6.29,0
Dumfries,Inter,D,semitop,0.537,0.568,11,6,6.23,0
Cambiaghi,Bologna,A,starter,0.624,0.567,18,6.06,6.64,0
Luperto,Cremonese,D,semitop,0.642,0.565,21,5.93,6.05,0
De Winter,Milan,D,semitop,0.575,0.565,14,5.93,6.11,0
Kabasele,Udinese,D,starter,0.586,0.564,16,6.06,6.34,0
Miretti,Juventus,C,scommessa,0.521,0.564,10,6.15,6.5,0
Esposito Se.,Cagliari,A,starter,0.674,0.563,23,6.2,6.67,0
Luis Henrique,Inter,C,scommessa,0.604,0.558,18,5.92,6.17,0
Montipò,Verona,P,semitop,0.663,0.556,22,6.16,4.66,0
Samardzic,Atalanta,C,starter,0.569,0.552,14,6,6.32,0
Vlahovic,Juventus,A,starter,0.546,0.552,13,5.96,6.65,0
Coco,Torino,D,starter,0.647,0.550,22,5.91,6.05,0
Leris,Pisa,C,starter,0.636,0.550,21,6,6.26,0
Lobotka,Napoli,C,starter,0.628,0.547,20,6.1,6.22,0
Hermoso,Roma,D,starter,0.587,0.545,17,6.15,6.15,0
Felici,Cagliari,C,scommessa,0.518,0.544,11,6.05,6.55,0
Tomori,Milan,D,starter,0.630,0.543,20,6.02,5.98,0
Vandeputte,Cremonese,C,starter,0.646,0.539,21,6.12,6.26,0
Dybala,Roma,A,starter,0.581,0.537,17,6.09,6.44,0
Moreno Alb.,Como,D,starter,0.497,0.536,9,6.06,6.33,0
Thorstvedt,Sassuolo,C,starter,0.606,0.534,19,6.05,6.26,0
Politano,Napoli,C,starter,0.630,0.533,21,6,6.12,0
Fadera,Sassuolo,C,starter,0.628,0.532,21,5.9,6.17,0
Zappa,Cagliari,D,starter,0.605,0.532,19,5.92,6.03,0
Colombo,Genoa,A,starter,0.657,0.531,24,5.9,6.54,0
Moreo,Pisa,A,starter,0.646,0.531,22,6.07,6.7,0
Cabal,Juventus,D,starter,0.483,0.531,9,5.94,6.56,0
Suzuki,Parma,P,scommessa,0.562,0.530,11,6,4.95,0
Mkhitaryan,Inter,C,starter,0.592,0.529,18,6.14,6.25,0
Adams C.,Torino,A,starter,0.648,0.527,23,5.93,6.5,0
De Gea,Fiorentina,P,semitop,0.658,0.525,25,6.18,4.74,0
Delprato,Parma,D,starter,0.652,0.525,24,5.9,5.94,0
Terracciano F.,Cremonese,D,starter,0.643,0.520,24,5.96,6.04,0
Skorupski,Bologna,P,starter,0.571,0.520,12,6.08,5.12,0
Santos A.,Napoli,C,scommessa,0.385,0.519,1,7.5,10.5,0
Valeri,Parma,D,starter,0.613,0.518,21,6.02,6.02,0
Buongiorno,Napoli,D,starter,0.607,0.518,20,5.92,5.92,0
Pedro,Lazio,A,scommessa,0.528,0.517,14,6.11,6.75,0
Addai,Como,A,starter,0.516,0.517,12,5.96,6.54,0
Sottil,Lecce,C,starter,0.581,0.514,18,6.03,6.22,0
Gosens,Fiorentina,D,starter,0.547,0.511,16,5.94,6.25,0
Beukema,Napoli,D,starter,0.520,0.511,13,5.92,6.08,0
Vardy,Cremonese,A,starter,0.619,0.510,21,5.93,6.55,0
Idrissi R.,Cagliari,D,starter,0.542,0.509,15,5.9,6.2,0
Muharemovic,Sassuolo,D,starter,0.617,0.508,22,5.8,5.82,0
Fofana Y.,Milan,C,starter,0.605,0.508,20,5.9,6.05,0
Bellanova,Atalanta,D,starter,0.533,0.507,14,5.93,5.96,0
Belotti,Cagliari,A,scommessa,0.400,0.507,3,6.33,8.33,0
Mina,Cagliari,D,starter,0.539,0.505,15,6.03,6.13,0
Norton-Cuffy,Genoa,D,starter,0.618,0.500,23,5.89,5.96,0
Leali,Genoa,P,starter,0.610,0.498,20,6.15,4.8,0
Gabbia,Milan,D,starter,0.621,0.497,22,5.95,5.89,0
Diego Carlos,Como,D,starter,0.569,0.497,15,6.13,5.97,0
Serdar,Verona,C,starter,0.563,0.496,18,5.97,6.22,0
Fagioli,Fiorentina,C,starter,0.603,0.495,22,6.02,6.2,0
Gatti,Juventus,D,scommessa,0.479,0.495,11,5.91,6.05,0
Rensch,Roma,D,scommessa,0.448,0.495,8,6.06,6.19,0
Muric,Sassuolo,P,starter,0.630,0.494,24,6.04,4.58,0
Angori,Pisa,D,starter,0.601,0.493,22,5.98,6,0
Bernede,Verona,C,starter,0.628,0.492,24,5.85,6.04,0
Corvi,Parma,P,starter,0.567,0.492,13,6.12,4.77,0
Cancellieri,Lazio,A,starter,0.588,0.490,17,6,6.41,0
Circati,Parma,D,starter,0.581,0.490,20,6,6.02,0
Pobega,Bologna,C,starter,0.556,0.490,17,5.76,6.09,0
Gutierrez,Napoli,D,scommessa,0.470,0.490,10,5.8,6.1,0
N'Dicka,Roma,D,starter,0.581,0.489,20,6.08,5.98,0
Semper,Pisa,P,starter,0.587,0.488,17,6.18,4.71,0
Athekame,Milan,D,scommessa,0.435,0.487,7,6,6.36,0
Djuric,Cremonese,A,scommessa,0.398,0.486,4,7,10,0
Miranda J.,Bologna,D,starter,0.594,0.485,20,5.95,5.98,0
Brescianini,Fiorentina,C,scommessa,0.461,0.485,10,6,6.55,0
Okoye,Udinese,P,starter,0.583,0.483,17,5.94,4.76,0
Paleari,Torino,P,starter,0.577,0.482,16,6.19,4.53,0
Zaccagni,Lazio,C,starter,0.575,0.482,19,6,6.26,0
Marusic,Lazio,D,starter,0.608,0.480,23,5.85,5.83,0
El Shaarawy,Roma,C,scommessa,0.471,0.479,11,6.09,6.23,0
Zortea,Bologna,D,starter,0.577,0.478,19,5.84,5.87,0
Vasquez,Genoa,D,starter,0.623,0.477,25,6.06,6.02,0
De Roon,Atalanta,C,starter,0.601,0.476,21,6.05,6.07,0
Banda,Lecce,A,starter,0.570,0.476,19,6.03,6.42,0
Messias,Genoa,C,scommessa,0.445,0.475,9,6.11,6.44,0
Dodò,Fiorentina,D,starter,0.621,0.474,25,5.9,5.9,0
Raspadori,Atalanta,A,starter,0.920,0.473,4,6.38,7.38,1
Coulibaly L.,Lecce,C,starter,0.573,0.471,20,6.08,6.3,0
Hien,Atalanta,D,starter,0.576,0.468,20,5.88,5.85,0
Rowe,Bologna,C,starter,0.528,0.468,16,6.16,6.16,0
Cristante,Roma,C,starter,0.611,0.467,24,6.12,6.15,0
Ravaglia F.,Bologna,P,starter,0.549,0.466,13,6.27,4.46,0
Gila,Lazio,D,starter,0.609,0.465,24,5.98,5.9,0
Barbieri,Cremonese,D,starter,0.536,0.465,18,6.08,6,0
Rodriguez Je.,Como,A,starter,0.573,0.463,20,6.12,6.28,0
Adzic,Juventus,C,scommessa,0.378,0.462,4,6.12,6.88,0
Tiago Gabriel,Lecce,D,starter,0.602,0.461,23,5.96,5.93,0
Idzes,Sassuolo,D,starter,0.605,0.460,24,5.92,5.9,0
Vergara,Napoli,C,scommessa,0.388,0.458,5,6.3,6.8,0
Martinez Jo.,Inter,P,scommessa,0.352,0.457,2,6.25,5.75,0
Acerbi,Inter,D,scommessa,0.456,0.455,11,6.05,5.95,0
Sulemana K.,Atalanta,A,starter,0.509,0.452,15,6.03,6.4,0
Ellertsson,Genoa,C,starter,0.588,0.451,23,5.91,6.07,0
Borrelli,Cagliari,A,starter,0.570,0.451,21,5.95,6.36,0
Lazaro,Torino,D,starter,0.598,0.449,24,5.71,5.73,0
Moro N.,Bologna,C,starter,0.526,0.448,17,5.91,6.06,0
Solomon,Fiorentina,A,scommessa,0.600,0.447,7,6.21,7.07,1
Matic,Sassuolo,C,starter,0.590,0.447,23,6.02,6.07,0
Casadei,Torino,C,starter,0.573,0.447,22,5.89,6.18,0
Ghilardi,Roma,D,scommessa,0.424,0.447,9,6.06,6.06,0
Tramoni M.,Pisa,C,starter,0.549,0.445,20,5.72,6.08,0
Romagnoli,Lazio,D,starter,0.560,0.444,21,6.02,5.9,0
Vitinha O.,Genoa,A,starter,0.559,0.444,21,6,6.4,0
Kristensen T.,Udinese,D,starter,0.488,0.444,15,5.83,5.97,0
Cuadrado,Pisa,D,scommessa,0.421,0.444,9,6.11,6.33,0
Djimsiti,Atalanta,D,starter,0.580,0.441,22,5.82,5.77,0
Gallo,Lecce,D,starter,0.591,0.440,24,5.94,5.9,0
Britschgi,Parma,D,starter,0.546,0.440,20,5.82,5.82,0
Terracciano,Milan,P,scommessa,0.340,0.439,2,6,6,0
Obert,Cagliari,D,starter,0.561,0.438,21,5.86,5.79,0
Pisilli,Roma,C,scommessa,0.418,0.438,9,6.06,6.17,0
Lucumì,Bologna,D,starter,0.510,0.436,16,5.81,5.91,0
Rinaldi,Parma,P,scommessa,0.328,0.433,1,7,6.5,0
Ekuban,Genoa,A,starter,0.528,0.432,19,5.95,6.32,0
Folino,Cremonese,D,scommessa,0.377,0.431,6,6,6.5,0
Elmas,Napoli,C,starter,0.541,0.427,20,5.78,5.85,0
Bernardeschi,Bologna,C,starter,0.475,0.427,14,5.86,6.07,0
Provstgaard,Lazio,D,scommessa,0.421,0.425,10,6.05,6,0
Keita M.,Parma,C,starter,0.562,0.423,23,5.98,6,0
Walukiewicz,Sassuolo,D,starter,0.577,0.420,24,5.77,5.73,0
Comuzzo,Fiorentina,D,starter,0.504,0.420,18,5.72,5.83,0
Meret,Napoli,P,scommessa,0.396,0.420,7,6.14,4.79,0
Bianchetti,Cremonese,D,starter,0.515,0.419,19,5.79,5.79,0
Marcandalli,Genoa,D,starter,0.503,0.418,18,5.94,5.89,0
Ismajli,Torino,D,starter,0.472,0.418,15,5.83,5.87,0
Heggem,Bologna,D,starter,0.558,0.417,21,5.86,5.81,0
Gandelman,Lecce,C,scommessa,0.680,0.415,5,6.1,6.7,1
Fabbian,Fiorentina,C,starter,0.467,0.415,15,5.83,6.2,0
Bertola,Udinese,D,starter,0.522,0.414,20,5.82,5.8,0
Folorunsho,Cagliari,C,starter,0.480,0.412,16,6.03,6.12,0
Buksa,Udinese,A,starter,0.452,0.412,13,6,6.62,0
Sorensen O.,Parma,C,starter,0.542,0.410,22,5.82,5.91,0
Frendrup,Genoa,C,starter,0.567,0.406,24,6,6.06,0
Gilmour,Napoli,C,scommessa,0.362,0.406,6,6,6.42,0
Parisi,Fiorentina,D,starter,0.465,0.397,16,6.06,5.88,0
Kamara H.,Udinese,D,starter,0.454,0.397,15,5.87,5.83,0
Durosinmi,Pisa,A,starter,0.800,0.396,4,6.12,7.12,1
Doig,Sassuolo,D,starter,0.548,0.395,23,5.87,5.78,0
Edmundsson,Verona,D,scommessa,0.307,0.395,2,6.75,6.75,0
Estupinan,Milan,D,scommessa,0.422,0.394,9,5.67,5.56,0
Openda,Juventus,A,starter,0.431,0.393,13,5.85,6.08,0
Frese,Verona,D,starter,0.499,0.392,19,5.79,5.71,0
Piotrowski,Udinese,C,starter,0.505,0.391,20,5.9,6,0
Karlstrom,Udinese,C,starter,0.560,0.389,25,5.94,5.98,0
Bradaric,Verona,D,starter,0.508,0.388,20,5.75,5.7,0
Kolasinac,Atalanta,D,scommessa,0.363,0.388,7,6.21,6.07,0
Valenti,Parma,D,starter,0.483,0.385,18,5.94,5.83,0
Harroui,Verona,C,scommessa,0.380,0.385,9,5.78,6.11,0
Zerbin,Cremonese,C,starter,0.498,0.384,18,5.81,5.89,0
Nzola,Sassuolo,A,starter,0.483,0.384,18,5.92,6.17,0
Fortini,Fiorentina,D,scommessa,0.410,0.383,12,5.96,5.96,0
Baldanzi,Genoa,C,scommessa,0.390,0.382,10,6,6.2,0
Loyola,Pisa,C,scommessa,0.720,0.381,3,6.17,7.17,1
Pellegrini Lu.,Lazio,D,scommessa,0.491,0.381,19,5.87,5.74,0
Kuhn,Como,A,starter,0.418,0.381,12,5.96,6.21,0
El Aynaoui,Roma,C,scommessa,0.400,0.381,11,6,5.95,0
Smolcic I.,Como,D,scommessa,0.456,0.377,15,5.9,5.67,0
Tourè I.,Pisa,C,starter,0.533,0.375,23,5.91,5.93,0
Gagliardini,Verona,C,starter,0.476,0.375,18,5.97,5.97,0
Ranieri L.,Fiorentina,D,scommessa,0.482,0.374,19,5.82,5.82,0
Frattesi,Inter,C,scommessa,0.360,0.371,8,6,6,0
Piccoli,Fiorentina,A,scommessa,0.479,0.366,18,5.72,6.06,0
Ferguson,Bologna,C,scommessa,0.455,0.366,16,5.91,5.97,0
Bella-Kotchap,Verona,D,scommessa,0.424,0.366,14,5.89,5.79,0
Deiola,Cagliari,C,scommessa,0.401,0.366,12,6.04,6,0
Nicolussi Caviglia,Parma,C,scommessa,0.386,0.366,11,5.77,5.95,0
Garcia U.,Sassuolo,D,scommessa,0.286,0.365,2,6.25,6.75,0
Payero,Cremonese,C,scommessa,0.471,0.364,17,6,6,0
Noslin,Lazio,A,scommessa,0.428,0.364,12,5.71,6.12,0
Freuler,Bologna,C,scommessa,0.465,0.363,17,6.06,5.88,0
Canestrelli,Pisa,D,scommessa,0.540,0.361,25,5.74,5.7,0
Tsimikas,Roma,D,scommessa,0.362,0.360,9,5.83,5.78,0
Ziolkowski,Roma,D,scommessa,0.338,0.359,7,6.07,5.93,0
Dallinga,Bologna,A,scommessa,0.449,0.358,16,5.75,5.97,0
Lazzari,Lazio,D,scommessa,0.406,0.357,13,5.81,5.73,0
N'Dri,Lecce,A,scommessa,0.377,0.357,10,5.95,6.45,0
De Vrij,Inter,D,scommessa,0.292,0.357,3,6.17,6.17,0
Ahanor,Atalanta,D,scommessa,0.434,0.354,15,5.73,5.63,0
Adopo,Cagliari,C,starter,0.529,0.353,24,5.75,5.83,0
Niasse,Verona,C,scommessa,0.423,0.350,15,5.77,5.8,0
Maldini,Lazio,C,scommessa,0.360,0.350,9,5.89,5.94,0
Lorran,Pisa,C,scommessa,0.319,0.350,4,5.88,6.62,0
Caracciolo A.,Pisa,D,scommessa,0.507,0.346,23,5.93,5.74,0
Tavares N.,Lazio,D,scommessa,0.374,0.345,11,5.68,5.64,0
Sulemana I.,Cagliari,C,scommessa,0.305,0.345,5,5.9,6.4,0
Boga,Juventus,A,scommessa,0.272,0.345,2,6.25,6.75,0
Taylor K.,Lazio,C,starter,0.800,0.344,6,5.92,6.25,1
Zhegrova,Juventus,C,scommessa,0.340,0.344,8,6,6,0
Musah,Atalanta,C,scommessa,0.382,0.343,11,5.95,5.91,0
Stulic,Lecce,A,scommessa,0.509,0.342,22,5.7,5.95,0
Prati,Torino,C,scommessa,0.487,0.342,21,5.88,5.9,0
Juan Jesus,Napoli,D,scommessa,0.444,0.342,15,5.8,5.53,0
Dominguez B.,Bologna,A,scommessa,0.366,0.342,10,5.9,6.15,0
Iannoni,Sassuolo,C,scommessa,0.293,0.342,4,6,6.62,0
Mosquera,Verona,A,scommessa,0.386,0.341,12,5.96,6.08,0
Joao Mario,Bologna,D,scommessa,0.329,0.341,6,5.83,5.92,0
Ekhator,Genoa,A,scommessa,0.426,0.338,16,5.94,6.25,0
Pezzella Giu.,Cremonese,D,scommessa,0.455,0.336,19,5.68,5.55,0
Olivera,Napoli,D,scommessa,0.382,0.336,12,5.62,5.54,0
Ordonez C.,Parma,C,scommessa,0.354,0.336,10,5.75,5.85,0
Fullkrug,Milan,A,scommessa,0.700,0.335,7,5.86,5.86,1
Akinsanmiro,Pisa,C,scommessa,0.400,0.334,14,5.96,5.96,0
Veiga D.,Lecce,D,scommessa,0.491,0.332,22,5.82,5.68,0
Nelsson,Verona,D,scommessa,0.512,0.330,24,5.62,5.48,0
Angelino,Roma,D,scommessa,0.347,0.330,5,5.8,5.7,0
Pedersen,Torino,D,scommessa,0.443,0.329,18,5.75,5.67,0
Ndour,Fiorentina,C,scommessa,0.427,0.329,17,5.74,5.88,0
Vitik,Bologna,D,scommessa,0.384,0.329,12,5.92,5.79,0
Floriani Mussolini,Cremonese,D,scommessa,0.404,0.328,15,5.73,5.67,0
Zaragoza,Roma,C,scommessa,0.257,0.325,2,6,6.25,0
Van Der Brempt,Como,D,scommessa,0.307,0.324,6,6,5.83,0
Israel,Torino,P,scommessa,0.361,0.322,9,5.89,3.83,0
Silvestri,Cremonese,P,scommessa,0.280,0.320,4,6.38,4.62,0
Njie,Torino,A,scommessa,0.277,0.319,4,5.75,6.75,0
Harrison,Fiorentina,C,scommessa,0.600,0.318,3,6,6.33,1
Valentini N.,Verona,D,scommessa,0.353,0.316,11,5.68,5.59,0
Meister,Pisa,A,scommessa,0.454,0.315,19,5.71,6,0
Diouf,Inter,C,scommessa,0.284,0.313,5,5.9,5.9,0
Aebischer,Pisa,C,scommessa,0.497,0.309,24,5.81,5.85,0
Sanabria,Cremonese,A,scommessa,0.412,0.307,16,5.84,6.03,0
Ehizibue,Udinese,D,scommessa,0.378,0.307,14,5.64,5.57,0
Zè Pedro,Cagliari,D,scommessa,0.354,0.304,9,5.56,5.5,0
Al-Musrati,Verona,C,scommessa,0.340,0.304,10,5.75,5.7,0
Perin,Juventus,P,scommessa,0.255,0.304,3,6,5,0
Darmian,Inter,D,scommessa,0.242,0.304,2,6,6,0
Pessina Mas.,Bologna,P,scommessa,0.235,0.304,1,6,6,0
Perilli,Verona,P,scommessa,0.254,0.303,3,6.17,3.83,0
Gaspar K.,Lecce,D,scommessa,0.446,0.301,20,5.8,5.6,0
Zemura,Udinese,D,scommessa,0.340,0.301,11,5.86,5.73,0
Jashari,Milan,C,scommessa,0.276,0.300,5,5.9,5.9,0
Gineitis,Torino,C,scommessa,0.387,0.299,15,5.73,5.73,0
Pongracic,Fiorentina,D,scommessa,0.472,0.297,23,5.76,5.59,0
Bondo,Cremonese,C,scommessa,0.459,0.297,20,5.9,5.8,0
Dia,Lazio,A,scommessa,0.407,0.297,14,5.57,5.79,0
Lykogiannis,Bologna,D,scommessa,0.311,0.296,8,5.62,5.56,0
Sarr A.,Verona,A,scommessa,0.481,0.295,23,5.7,5.65,0
Ilkhan,Torino,C,scommessa,0.315,0.295,9,5.78,5.83,0
Rovella,Lazio,C,scommessa,0.295,0.294,7,5.86,5.86,0
Pierotti,Lecce,C,scommessa,0.480,0.293,23,5.76,5.74,0
Scuffet,Pisa,P,scommessa,0.308,0.293,7,6.21,4.07,0
Casale,Bologna,D,scommessa,0.307,0.290,8,5.56,5.56,0
Koopmeiners,Juventus,C,scommessa,0.437,0.289,20,5.68,5.55,0
Calabresi,Pisa,D,scommessa,0.387,0.289,16,5.84,5.69,0
Padelli,Udinese,P,scommessa,0.236,0.289,2,6.25,5.25,0
Sohm,Bologna,C,scommessa,0.387,0.288,15,5.6,5.57,0
Biraghi,Torino,D,scommessa,0.310,0.288,9,5.56,5.56,0
Lipani,Sassuolo,C,scommessa,0.335,0.287,11,5.82,5.82,0
Strefezza,Parma,C,scommessa,0.229,0.286,2,6.25,6.25,0
De Silvestri,Bologna,D,scommessa,0.267,0.285,5,6.1,5.9,0
Sala A.,Lecce,C,low,0.250,0.283,4,5.75,6,0
Iling Junior,Pisa,C,scommessa,0.214,0.282,1,6.5,6.5,0
Lovric,Verona,C,scommessa,0.259,0.281,5,5.7,5.8,0
