Giocatore,Squadra,RuoloMantra,RealScore,PotentialScore,CreditEfficiencyScore,MarketScoreFinal,Tier,PrezzoAttuale,PrezzoIniziale
Spinazzola,Napoli,Dc,89.86,82.83,0.55,69.89,Titolare,20.0,7.0
Bastoni,Inter,Dc,84.38,85.79,6.01,69.13,Titolare,17.0,16.0
Dimarco,Inter,Dc,86.63,84.75,0.0,68.74,Titolare,31.0,19.0
Zanoli,Udinese,Dc,79.13,61.58,45.36,67.11,Titolare,10.0,3.0
Palestra,Cagliari,Dc,82.04,81.75,4.37,66.42,Titolare,17.0,3.0
Bisseck,Inter,Dc,79.04,74.44,20.77,66.01,Titolare,13.0,9.0
Holm,Juventus,Dc,75.53,74.43,28.96,65.89,Titolare,12.0,8.0
Kossounou,Atalanta,Dc,70.96,59.98,59.56,65.39,Titolare,7.0,9.0
Di Lorenzo,Napoli,Dc,75.92,69.02,25.14,63.69,Titolare,12.0,14.0
Muharemovic,Sassuolo,Dc,62.77,68.91,53.55,62.77,Titolare,8.0,5.0
Pavlovic,Milan,Dc,81.27,67.89,8.2,62.64,Titolare,15.0,7.0
Gutierrez,Napoli,Dc,67.48,54.45,62.3,62.54,Titolare,6.0,8.0
Wesley,Roma,Dc,76.62,74.17,7.1,61.98,Titolare,15.0,14.0
Dumfries,Inter,Dc,68.36,66.59,38.8,61.92,Titolare,10.0,20.0
Rensch,Roma,Dc,63.81,53.47,68.85,61.72,Titolare,5.0,5.0
Martin,Genoa,Dc,76.31,68.65,14.75,61.7,Titolare,13.0,10.0
