round,position,fantateam,predicted_total
28,55,SPERA EBBASTA,80.5
28,56,CISCO TEAM,80.49
28,57,BinuSpuntu,80.45
28,58,HeineKean,80.41
28,59,I Cigni,80.39
28,60,puerto rosso blu,80.31
28,61,SAGATU,80.2
28,62,Lions,80.19
28,63,LEONE,80.09
28,64,BOBONE32,80.03
28,65,ROCKY 3,80.01
28,66,CuginiDiCampagna,79.98
28,67,real donk,79.93
28,68,F.C Pennic Hellas,79.87
28,69,ProPro Proibito,79.84
28,70,KARABE 1975,79.8
28,71,Sciabolata Classica,79.77
28,72,SMOG,79.66
28,73,Riccardigno,79.59
28,74,Fc nipiri,79.56
28,75,Giubbentus,79.4
28,76,BANDITI,79.39
28,77,Sarzanello Team,79.1
28,78,Longobarda,79.08
28,79,i fratelli merda,79.08
28,80,lagg,78.87
28,81,Kung-Fu Pandev,78.76
28,82,Malmö FF,78.41
28,83,SILVEDO,78.41
28,84,Evergreen,77.93
29,1,Temptation Haaland,86.64
29,2,SPARROW,86.57
29,3,EquipoA,85.81
29,4,Ipa Bali,85.61
29,5,Fc Cortomuso,85.28
29,6,TomMat-iga,85.27
29,7,Tana delle Tigri,85.17
29,8,FC Buttarighe,84.99
29,9,XLiverpuh,84.53
29,10,Non troppo cattivi,84.36
29,11,MARCIO TEAM,83.91
29,12,Lunarossa,83.88
29,13,LosPollosHermanos,83.8
29,14,I COMPARI,83.63
29,15,Nastro Azzurro,83.4
29,16,Concali Craboni FC,83.32
29,17,Pro secco,83.05
29,18,FC Spiaze,83.03
29,19,Boiali,82.99
29,20,LE 4 M,82.78
29,21,Antibro,82.77
29,22,Scarzooka,82.73
29,23,pacho team,82.72
29,24,FC Plasmon,82.69
29,25,AC DENTI,82.45
29,26,F.C Pennic Hellas,82.41
29,27,A.C.TUA CUCS,82.37
29,28,LEONE,82.23
29,29,Pi-Ciaccio,82.13
29,30,CLAN,81.99
29,31,Real Mellandro,81.84
29,32,Peaky Tunas,81.76
29,33,SerSi-FC,81.75
29,34,Imperatori del culo,81.69
29,35,Leonte FC,81.58
29,36,BOBONE32,81.55
29,37,scarsenal,81.52
29,38,coach 71,81.45
29,39,Plu-Team,81.26
29,40,FC Galli,81.21
29,41,Due Amici al Var,81.07
29,42,I Cigni,81.01
29,43,ROCKY 3,80.87
29,44,OnlyFans,80.85
29,45,Collocolo Team,80.83
29,46,SPOSTATI,80.72
29,47,ISGOPPAISI2,80.7
29,48,DonBosko46,80.59
29,49,Piovra73,80.56
29,50,Malmö FF,80.41
29,51,BinuSpuntu,80.4
29,52,DEEDPULLY,80.35
29,53,CISCO TEAM,80.21
29,54,ProPro Proibito,80.21
29,55,SILVEDO,80.1
29,56,Hellas merdona,80.07
29,57,Sarzanello Team,79.96
29,58,BARAKALLAHOUFIK,79.94
29,59,i bro,79.91
29,60,SPERA EBBASTA,79.87
29,61,Sciabolata Classica,79.87
29,62,Fc nipiri,79.82
29,63,buttiglia25,79.79
29,64,PEAKY BLINDERS,79.77
29,65,Sisal Palace,79.73
29,66,SMOG,79.54
29,67,BANDITI,79.52
29,68,SAGATU,79.51
29,69,mezzebirre,79.47
29,70,Riccardigno,79.32
29,71,Mapoitta,79.11
29,72,kalashnikov,79.01
29,73,puerto rosso blu,78.97
29,74,i fratelli merda,78.73
29,75,HeineKean,78.11
29,76,Lions,78.07
29,77,Longobarda,77.9
29,78,CuginiDiCampagna,77.47
29,79,Evergreen,77.4
29,80,Giubbentus,77.09
29,81,real donk,76.98
29,82,KARABE 1975,76.9
29,83,Kung-Fu Pandev,75.93
29,84,lagg,75.12
30,1,Temptation Haaland,90.61
30,2,Fc Cortomuso,89.7
30,3,EquipoA,89.23
30,4,SPARROW,89.02
30,5,TomMat-iga,88.99
30,6,FC Buttarighe,88.48
30,7,I COMPARI,88.41
30,8,Ipa Bali,87.98
30,9,Nastro Azzurro,87.91
30,10,Non troppo cattivi,87.85
30,11,Scarzooka,87.33
30,12,FC Plasmon,87.21
30,13,LosPollosHermanos,86.96
30,14,Tana delle Tigri,86.95
30,15,A.C.TUA CUCS,86.91
30,16,XLiverpuh,86.64
30,17,MARCIO TEAM,86.57
30,18,Lunarossa,86.54
30,19,Boiali,86.52
30,20,BARAKALLAHOUFIK,86.27
30,21,scarsenal,86.13
30,22,Real Mellandro,85.71
30,23,SerSi-FC,85.66
30,24,Plu-Team,85.37
30,25,Hellas merdona,85.36
30,26,Imperatori del culo,85.31
30,27,FC Galli,85.08
30,28,Pi-Ciaccio,84.98
30,29,Pro secco,84.81
30,30,coach 71,84.66
30,31,DEEDPULLY,84.62
30,32,Leonte FC,84.57
30,33,FC Spiaze,84.51
30,34,CLAN,84.39
30,35,BANDITI,84.31
30,36,Due Amici al Var,84.29
30,37,Concali Craboni FC,84.23
30,38,AC DENTI,84.09
30,39,mezzebirre,84.07
30,40,BOBONE32,84.03
30,41,pacho team,83.89
30,42,Peaky Tunas,83.79
30,43,ROCKY 3,83.77
30,44,Antibro,83.75
30,45,Collocolo Team,83.73
30,46,LE 4 M,83.7
30,47,Mapoitta,83.57
30,48,real donk,83.44
30,49,DonBosko46,83.42
30,50,CISCO TEAM,83.35
30,51,LEONE,83.33
30,52,Sisal Palace,83.33
30,53,ISGOPPAISI2,83.27
30,54,PEAKY BLINDERS,83.04
30,55,Sarzanello Team,83.04
30,56,SPERA EBBASTA,83.0
30,57,SPOSTATI,82.73
30,58,Lions,82.49
30,59,puerto rosso blu,82.47
30,60,OnlyFans,82.36
30,61,kalashnikov,82.36
30,62,i bro,82.26
30,63,Riccardigno,82.13
30,64,i fratelli merda,82.07
30,65,I Cigni,81.97
30,66,SAGATU,81.32
30,67,SMOG,81.26
30,68,CuginiDiCampagna,81.02
30,69,lagg,81.01
30,70,BinuSpuntu,80.91
30,71,Malmö FF,80.7
30,72,Giubbentus,80.57
30,73,buttiglia25,80.56
30,74,KARABE 1975,80.55
30,75,ProPro Proibito,80.45
30,76,F.C Pennic Hellas,80.32
30,77,Fc nipiri,80.05
30,78,HeineKean,79.66
30,79,Piovra73,79.57
30,80,SILVEDO,79.4
30,81,Longobarda,79.07
30,82,Evergreen,78.53
30,83,Kung-Fu Pandev,78.47
30,84,Sciabolata Classica,78.42
31,1,Temptation Haaland,86.17
31,2,SPARROW,86.15
31,3,Tana delle Tigri,84.93
31,4,LosPollosHermanos,84.36
31,5,EquipoA,84.02
31,6,FC Buttarighe,84.02
31,7,TomMat-iga,83.85
31,8,Fc Cortomuso,83.63
31,9,XLiverpuh,83.62
31,10,Ipa Bali,83.4
31,11,MARCIO TEAM,83.39
31,12,Non troppo cattivi,83.38
31,13,Nastro Azzurro,83.34
31,14,Concali Craboni FC,83.31
31,15,Lunarossa,83.18
31,16,AC DENTI,83.05
31,17,FC Plasmon,82.99
31,18,I COMPARI,82.66
31,19,A.C.TUA CUCS,82.6
31,20,Scarzooka,82.56
31,21,LE 4 M,82.5
31,22,pacho team,82.06
31,23,Real Mellandro,81.96
31,24,Antibro,81.87
31,25,FC Spiaze,81.83
31,26,Peaky Tunas,81.76
31,27,Imperatori del culo,81.73
31,28,Boiali,81.67
31,29,Pi-Ciaccio,81.32
31,30,Leonte FC,81.3
31,31,LEONE,81.24
31,32,Pro secco,81.17
31,33,Plu-Team,81.14
31,34,scarsenal,81.1
31,35,F.C Pennic Hellas,80.83
31,36,Due Amici al Var,80.8
31,37,OnlyFans,80.79
31,38,FC Galli,80.74
31,39,Fc nipiri,80.52
31,40,SerSi-FC,80.44
31,41,BinuSpuntu,80.43
31,42,I Cigni,80.35
31,43,DEEDPULLY,80.31
31,44,DonBosko46,80.26
31,45,CISCO TEAM,80.25
31,46,BOBONE32,80.24
31,47,ISGOPPAISI2,80.2
31,48,CLAN,80.19
31,49,Sarzanello Team,80.18
31,50,SAGATU,80.06
31,51,BARAKALLAHOUFIK,80.05
31,52,i bro,80.05
31,53,i fratelli merda,80.05
31,54,Sisal Palace,79.97
31,55,Collocolo Team,79.89
31,56,Mapoitta,79.85
31,57,SPERA EBBASTA,79.73
31,58,coach 71,79.68
31,59,buttiglia25,79.49
31,60,SPOSTATI,79.4
31,61,PEAKY BLINDERS,79.38
31,62,Hellas merdona,79.36
31,63,Piovra73,79.3
31,64,CuginiDiCampagna,79.18
31,65,kalashnikov,79.02
31,66,Sciabolata Classica,78.93
31,67,SMOG,78.92
31,68,Malmö FF,78.85
31,69,Riccardigno,78.81
31,70,SILVEDO,78.69
31,71,ProPro Proibito,78.68
31,72,BANDITI,78.66
31,73,Lions,78.65
31,74,ROCKY 3,78.47
31,75,Giubbentus,78.13
31,76,HeineKean,78.09
31,77,puerto rosso blu,77.67
31,78,Longobarda,77.56
31,79,mezzebirre,77.48
31,80,KARABE 1975,77.46
31,81,Evergreen,77.36
31,82,Kung-Fu Pandev,76.99
31,83,real donk,76.94
31,84,lagg,75.9
32,1,Fc Cortomuso,89.1
32,2,Temptation Haaland,87.15
32,3,EquipoA,87.11
32,4,Non troppo cattivi,86.74
32,5,Ipa Bali,86.72
32,6,TomMat-iga,86.72
32,7,MARCIO TEAM,86.43
32,8,SPARROW,86.43
32,9,FC Plasmon,86.42
32,10,FC Buttarighe,86.3
32,11,I COMPARI,86.24
32,12,Nastro Azzurro,85.79
32,13,BARAKALLAHOUFIK,85.24
32,14,Imperatori del culo,84.13
32,15,Tana delle Tigri,84.11
32,16,LosPollosHermanos,84.06
32,17,Hellas merdona,83.94
32,18,DEEDPULLY,83.89
32,19,Boiali,83.78
32,20,scarsenal,83.77
32,21,Scarzooka,83.72
32,22,Antibro,83.52
32,23,CLAN,83.46
32,24,SerSi-FC,83.31
32,25,Lunarossa,83.11
32,26,coach 71,82.94
32,27,Leonte FC,82.72
32,28,Real Mellandro,82.72
32,29,Due Amici al Var,82.68
32,30,XLiverpuh,82.63
32,31,FC Spiaze,82.26
32,32,mezzebirre,82.22
32,33,Concali Craboni FC,82.2
32,34,CISCO TEAM,82.19
32,35,ROCKY 3,82.18
32,36,LEONE,82.1
32,37,Plu-Team,82.04
32,38,Pro secco,81.91
32,39,OnlyFans,81.88
32,40,Collocolo Team,81.87
32,41,BANDITI,81.74
32,42,Pi-Ciaccio,81.72
32,43,SPOSTATI,81.72
32,44,FC Galli,81.6
32,45,A.C.TUA CUCS,81.54
32,46,SPERA EBBASTA,80.98
32,47,I Cigni,80.83
32,48,BOBONE32,80.81
32,49,DonBosko46,80.67
32,50,LE 4 M,80.64
32,51,Peaky Tunas,80.54
32,52,AC DENTI,80.49
32,53,real donk,80.49
32,54,kalashnikov,80.32
32,55,ISGOPPAISI2,80.31
32,56,puerto rosso blu,80.24
32,57,Riccardigno,79.59
32,58,Malmö FF,79.13
32,59,PEAKY BLINDERS,79.08
32,60,i bro,79.07
32,61,Mapoitta,79.05
32,62,Lions,78.99
32,63,pacho team,78.98
32,64,Longobarda,78.83
32,65,SMOG,78.57
32,66,Piovra73,78.56
32,67,Sarzanello Team,78.56
32,68,i fratelli merda,78.48
32,69,Sisal Palace,78.28
32,70,ProPro Proibito,78.17
32,71,SILVEDO,78.16
32,72,KARABE 1975,78.08
32,73,buttiglia25,78.04
32,74,Sciabolata Classica,78.02
32,75,CuginiDiCampagna,77.98
32,76,F.C Pennic Hellas,77.87
32,77,BinuSpuntu,77.76
32,78,lagg,77.5
32,79,SAGATU,77.45
32,80,Fc nipiri,77.24
32,81,Kung-Fu Pandev,77.16
32,82,Giubbentus,76.73
32,83,Evergreen,76.21
32,84,HeineKean,75.92
33,1,SPARROW,88.63
33,2,Temptation Haaland,88.55
33,3,FC Buttarighe,87.65
33,4,TomMat-iga,87.32
33,5,Tana delle Tigri,87.04
33,6,Fc Cortomuso,86.97
33,7,EquipoA,86.76
33,8,Ipa Bali,86.63
33,9,Non troppo cattivi,86.42
33,10,I COMPARI,86.14
33,11,Nastro Azzurro,86.06
33,12,LosPollosHermanos,85.79
33,13,XLiverpuh,85.53
33,14,FC Plasmon,85.52
33,15,Lunarossa,85.3
33,16,A.C.TUA CUCS,85.0
33,17,MARCIO TEAM,84.89
33,18,Real Mellandro,84.68
33,19,LE 4 M,84.49
33,20,Scarzooka,84.32
33,21,AC DENTI,84.27
33,22,Imperatori del culo,84.22
33,23,Plu-Team,84.09
33,24,Boiali,84.07
33,25,Leonte FC,83.78
33,26,Peaky Tunas,83.69
33,27,Concali Craboni FC,83.54
33,28,pacho team,83.52
33,29,scarsenal,83.49
33,30,coach 71,83.43
33,31,Due Amici al Var,83.42
33,32,Pi-Ciaccio,83.42
33,33,CLAN,83.39
33,34,FC Galli,83.34
33,35,Hellas merdona,83.11
33,36,FC Spiaze,83.06
33,37,Sarzanello Team,82.88
33,38,Antibro,82.64
33,39,Pro secco,82.6
33,40,DonBosko46,82.47
33,41,F.C Pennic Hellas,82.29
33,42,LEONE,82.26
33,43,BOBONE32,82.23
33,44,OnlyFans,82.03
33,45,Sisal Palace,81.95
33,46,BANDITI,81.78
33,47,Collocolo Team,81.69
33,48,ISGOPPAISI2,81.69
33,49,Malmö FF,81.67
33,50,PEAKY BLINDERS,81.65
33,51,CISCO TEAM,81.62
33,52,SerSi-FC,81.53
33,53,I Cigni,81.49
