round,team,opponent,home_away,home_score,away_score,team_score,opponent_score,match_status,kickoff_iso,match_url,match_id
36,milan,atalanta,H,,,,,,,,
36,napoli,bologna,H,,,,,,,,
36,parma,roma,H,,,,,,,,
36,pisa,cremonese,A,,,,,,,,
36,roma,parma,A,,,,,,,,
36,sassuolo,torino,A,,,,,,,,
36,torino,sassuolo,H,,,,,,,,
36,udinese,cagliari,A,,,,,,,,
36,verona,como,H,,,,,,,,
37,atalanta,bologna,H,,,,,,,,
37,bologna,atalanta,A,,,,,,,,
37,cagliari,torino,H,,,,,,,,
37,como,parma,H,,,,,,,,
37,cremonese,udinese,A,,,,,,,,
37,fiorentina,juventus,A,,,,,,,,
37,genoa,milan,H,,,,,,,,
37,inter,verona,H,,,,,,,,
37,juventus,fiorentina,H,,,,,,,,
37,lazio,roma,A,,,,,,,,
37,lecce,sassuolo,A,,,,,,,,
37,milan,genoa,A,,,,,,,,
37,napoli,pisa,A,,,,,,,,
37,parma,como,A,,,,,,,,
37,pisa,napoli,H,,,,,,,,
37,roma,lazio,H,,,,,,,,
37,sassuolo,lecce,H,,,,,,,,
37,torino,cagliari,A,,,,,,,,
37,udinese,cremonese,H,,,,,,,,
37,verona,inter,A,,,,,,,,
38,atalanta,fiorentina,A,,,,,,,,
38,bologna,inter,H,,,,,,,,
38,cagliari,milan,A,,,,,,,,
38,como,cremonese,A,,,,,,,,
38,cremonese,como,H,,,,,,,,
38,fiorentina,atalanta,H,,,,,,,,
38,genoa,lecce,A,,,,,,,,
38,inter,bologna,A,,,,,,,,
38,juventus,torino,A,,,,,,,,
38,lazio,pisa,H,,,,,,,,
38,lecce,genoa,H,,,,,,,,
38,milan,cagliari,H,,,,,,,,
38,napoli,udinese,H,,,,,,,,
38,parma,sassuolo,H,,,,,,,,
38,pisa,lazio,A,,,,,,,,
38,roma,verona,A,,,,,,,,
38,sassuolo,parma,A,,,,,,,,
38,torino,juventus,H,,,,,,,,
38,udinese,napoli,A,,,,,,,,
38,verona,roma,H,,,,,,,,
