Team,Giocatore,Ruolo,Squadra,PrezzoAcquisto,PrezzoAttuale
CLAN,Bernardeschi,C,Bol,9,9
CLAN,Malinovskyi,C,Gen,7,7
CLAN,McTominay,C,Nap,26,26
CLAN,Modric,C,Mil,12,12
CLAN,Nicolussi Caviglia,C,Par,3,3
CLAN,Zalewski,C,Ata,6,6
CLAN,Canestrelli,D,Pis,3,3
CLAN,Comuzzo,D,Fio,7,7
CLAN,Gutierrez,D,Nap,7,7
CLAN,Lazaro,D,Tor,7,7
CLAN,Rugani,D,Fio,2,2
CLAN,Tavares N.,D,Laz,12,12
CLAN,Wesley,D,Rom,14,14
CLAN,Di Gregorio,P,Juv,16,16
CLAN,Perin,P,Juv,1,1
CLAN,Silvestri,P,Cre,1,1
Collocolo Team,Kean,A,Fio,33,33
Collocolo Team,Leao,A,Mil,26,26
Collocolo Team,Martinez L.,A,Int,34,34
Collocolo Team,Pavoletti,A,Cag,1,1
Collocolo Team,Pellegrino M.,A,Par,13,13
Collocolo Team,Basic,C,Laz,1,1
Collocolo Team,Baturina,C,Com,17,17
Collocolo Team,Gudmundsson A.,C,Fio,17,17
Collocolo Team,Marchwinski,C,Lec,1,1
Collocolo Team,McTominay,C,Nap,24,24
Collocolo Team,Pierotti,C,Lec,6,6
Collocolo Team,Pulisic,C,Mil,28,28
Collocolo Team,Suslov,C,Ver,1,1
Collocolo Team,Belghali,D,Ver,8,8
Collocolo Team,Doig,D,Sas,6,6
Collocolo Team,Joao Mario,D,Bol,1,1
Collocolo Team,N'Dicka,D,Rom,6,6
Collocolo Team,Norton-Cuffy,D,Gen,3,3
Collocolo Team,Rrahmani,D,Nap,12,12
Collocolo Team,Valeri,D,Par,10,10
Collocolo Team,Gollini,P,Rom,1,1
Collocolo Team,Martinez Jo.,P,Int,2,2
Collocolo Team,Sommer,P,Int,16,16
Concali Craboni FC,Bonazzoli,A,Cre,13,13
Concali Craboni FC,David,A,Juv,27,27
Concali Craboni FC,Douvikas,A,Com,9,9
Concali Craboni FC,Esposito Se.,A,Cag,7,7
Concali Craboni FC,Moreo,A,Pis,18,18
Concali Craboni FC,Akinsanmiro,C,Pis,3,3
Concali Craboni FC,Barella,C,Int,14,14
Concali Craboni FC,Berisha M.,C,Lec,3,3
Concali Craboni FC,Paz N.,C,Com,21,21
Concali Craboni FC,Pulisic,C,Mil,28,28
Concali Craboni FC,Tourè I.,C,Pis,6,6
Concali Craboni FC,Vranckx,C,Sas,4,4
Concali Craboni FC,Zambo Anguissa,C,Nap,15,15
Concali Craboni FC,Akanji,D,Int,10,10
Concali Craboni FC,Baschirotto,D,Cre,8,8
Concali Craboni FC,Dimarco,D,Int,27,27
Concali Craboni FC,Mina,D,Cag,7,7
Concali Craboni FC,Nelsson,D,Ver,4,4
Concali Craboni FC,Palestra,D,Cag,4,4
Concali Craboni FC,Valle,D,Com,6,6
Concali Craboni FC,Furlanetto,P,Laz,1,1
Concali Craboni FC,Motta,P,Laz,1,1
Concali Craboni FC,Provedel,P,Laz,12,12
CuginiDiCampagna,David,A,Juv,16,16
CuginiDiCampagna,Kean,A,Fio,33,33
CuginiDiCampagna,Martinez L.,A,Int,36,36
CuginiDiCampagna,Pinamonti,A,Sas,17,17
CuginiDiCampagna,Trepy,A,Cag,1,1
CuginiDiCampagna,Adopo,C,Cag,5,5
CuginiDiCampagna,Collocolo,C,Cre,8,8
CuginiDiCampagna,Marchwinski,C,Lec,1,1
CuginiDiCampagna,Nicolussi Caviglia,C,Par,3,3
CuginiDiCampagna,Orsolini,C,Bol,30,30
CuginiDiCampagna,Pulisic,C,Mil,28,28
CuginiDiCampagna,Strefezza,C,Par,10,10
CuginiDiCampagna,Zaniolo,C,Udi,11,11
CuginiDiCampagna,Frese,D,Ver,3,3
