ID,Giocatore,Posizione,Squadra,Partite giocate
7070,Sucic P.,C,Inter,16
5813,Miretti,C,Juventus,9
2334,Leris,C,Pisa,20
6815,Fadera,C,Sassuolo,21
6458,Serdar,C,Verona,17
2528,Matic,C,Sassuolo,22
4947,Brescianini,C,Fiorentina,8
5119,Samardzic,C,Atalanta,12
5298,Pobega,C,Bologna,16
5791,Frendrup,C,Genoa,22
6020,Ellertsson,C,Genoa,21
2529,Mkhitaryan,C,Inter,17
4686,Fofana Y.,C,Milan,19
4287,Lobotka,C,Napoli,18
536,Politano,C,Napoli,20
6680,Karlstrom,C,Udinese,23
22,De Roon,C,Atalanta,20
7146,Tourè I.,C,Pisa,21
5318,Tramoni M.,C,Pisa,19
7028,Bernede,C,Verona,23
5761,Zhegrova,C,Juventus,7
5651,Harrison,C,Fiorentina,1
6054,Moro N.,C,Bologna,16
6206,Fabbian,C,Fiorentina,14
6252,Folorunsho,C,Cagliari,16
4465,Fagioli,C,Fiorentina,20
6898,Keita M.,C,Parma,21
5888,Casadei,C,Torino,20
7198,Piotrowski,C,Udinese,20
2670,Bailey,C,Roma,5
6844,Rowe,C,Bologna,14
801,Gagliardini,C,Verona,18
5784,Aebischer,C,Pisa,22
4870,Adopo,C,Cagliari,23
4970,Messias,C,Genoa,7
5301,Luis Henrique,C,Inter,16
795,El Shaarawy,C,Roma,11
6481,Payero,C,Cremonese,15
7254,Lorran,C,Pisa,4
7318,Gandelman,C,Lecce,4
7331,Loyola,C,Pisa,1
5858,Ferguson,C,Bologna,15
6424,Prati,C,Torino,20
6294,Ndour,C,Fiorentina,16
181,Vecino,C,Lazio,12
6549,Pierotti,C,Lecce,22
5992,Bondo,C,Cremonese,20
5998,Zerbin,C,Cremonese,17
5131,Gilmour,C,Napoli,6
6593,Akinsanmiro,C,Pisa,13
6190,Pisilli,C,Roma,7
7209,Sorensen O.,C,Parma,20
7223,Vergara,C,Napoli,3
4479,Elmas,C,Napoli,18
6024,Sulemana I.,C,Cagliari,4
788,Freuler,C,Bologna,15
184,Bernardeschi,C,Bologna,12
1871,Deiola,C,Cagliari,12
27,Grassi,C,Cremonese,16
6917,Masini,C,Genoa,15
6394,Ramadani,C,Lecce,22
5295,Musah,C,Atalanta,11
5290,Estevez,C,Parma,14
6984,Ondrejka,C,Parma,11
7145,Piccinini G.,C,Pisa,12
5823,Baldanzi,C,Genoa,9
5540,Niasse,C,Verona,13
6106,Carboni V.,C,Genoa,10
2848,Frattesi,C,Inter,7
5685,Koopmeiners,C,Juventus,18
5457,Maleh,C,Cremonese,9
4856,Chukwueze,C,Milan,1
5319,Sohm,C,Bologna,14
7149,Marin M.,C,Pisa,16
6271,El Aynaoui,C,Roma,10
6246,Lipani,C,Sassuolo,9
7157,Iannoni,C,Sassuolo,4
4890,Tameze,C,Torino,17
6170,Gineitis,C,Torino,13
7203,Jashari,C,Milan,5
6218,Oristanio,C,Parma,12
4896,Maldini,C,Lazio,7
4284,Sergi Roberto,C,Como,7
6191,Belahyane,C,Lazio,8
4459,Rovella,C,Lazio,6
6629,Dele-Bashiru,C,Lazio,7
6410,Kaba,C,Lecce,11
6634,Tete Morente,C,Lecce,15
5007,Ilic,C,Torino,7
6889,Anjorin,C,Torino,6
5850,Lovric,C,Verona,4
5688,Harroui,C,Verona,8
7208,Miller L.,C,Udinese,8
6677,Adzic,C,Juventus,4
6005,Ilkhan,C,Torino,7
7010,Al-Musrati,C,Verona,8
4349,Nicolussi Caviglia,C,Parma,9
6528,Sarmiento J.,C,Cremonese,5
7132,Collocolo,C,Cremonese,4
