ID,Giocatore,Posizione,Squadra,Fantamedia
6015,Berisha M.,C,Lecce,6.92
4199,Loftus-Cheek,C,Milan,6.29
779,Cristante,C,Roma,6.14
5844,Thorstvedt,C,Sassuolo,6.35
5735,Volpato,C,Sassuolo,6.75
6684,Ekkelenkamp,C,Udinese,6.5
2839,Sottil,C,Lecce,6.24
5298,Pobega,C,Bologna,6.28
6020,Ellertsson,C,Genoa,6.07
7070,Sucic P.,C,Inter,6.31
2334,Leris,C,Pisa,6.3
6815,Fadera,C,Sassuolo,6.17
6458,Serdar,C,Verona,6.29
1976,Mazzitelli,C,Cagliari,7.11
22,De Roon,C,Atalanta,6.1
5792,Ederson D.S.,C,Atalanta,6.08
4947,Brescianini,C,Fiorentina,6.75
5119,Samardzic,C,Atalanta,6.33
2529,Mkhitaryan,C,Inter,6.24
5813,Miretti,C,Juventus,6.61
4686,Fofana Y.,C,Milan,6.06
4287,Lobotka,C,Napoli,6.22
536,Politano,C,Napoli,6.15
7146,Tourè I.,C,Pisa,5.95
5318,Tramoni M.,C,Pisa,6.13
6680,Karlstrom,C,Udinese,6.02
2528,Matic,C,Sassuolo,6.18
5651,Harrison,C,Fiorentina,5.5
5791,Frendrup,C,Genoa,6.09
7028,Bernede,C,Verona,6.04
5761,Zhegrova,C,Juventus,6.07
6054,Moro N.,C,Bologna,6.07
6206,Fabbian,C,Fiorentina,6.21
6252,Folorunsho,C,Cagliari,6.12
4465,Fagioli,C,Fiorentina,5.98
6898,Keita M.,C,Parma,5.9
7198,Piotrowski,C,Udinese,6.0
2670,Bailey,C,Roma,5.7
6844,Rowe,C,Bologna,6.12
801,Gagliardini,C,Verona,5.97
4870,Adopo,C,Cagliari,5.85
5992,Bondo,C,Cremonese,5.8
795,El Shaarawy,C,Roma,6.23
5888,Casadei,C,Torino,6.0
6481,Payero,C,Cremonese,6.03
7254,Lorran,C,Pisa,6.62
7318,Gandelman,C,Lecce,5.88
7331,Loyola,C,Pisa,5.5
5858,Ferguson,C,Bologna,6.07
1871,Deiola,C,Cagliari,6.0
6424,Prati,C,Torino,5.9
6294,Ndour,C,Fiorentina,5.88
4970,Messias,C,Genoa,6.57
5301,Luis Henrique,C,Inter,5.97
181,Vecino,C,Lazio,5.96
6549,Pierotti,C,Lecce,5.75
5998,Zerbin,C,Cremonese,5.88
5131,Gilmour,C,Napoli,6.42
6593,Akinsanmiro,C,Pisa,6.0
6190,Pisilli,C,Roma,6.21
5823,Baldanzi,C,Genoa,6.22
7209,Sorensen O.,C,Parma,5.9
788,Freuler,C,Bologna,5.86
5784,Aebischer,C,Pisa,5.89
184,Bernardeschi,C,Bologna,6.0
27,Grassi,C,Cremonese,5.66
6917,Masini,C,Genoa,5.8
6394,Ramadani,C,Lecce,5.68
5295,Musah,C,Atalanta,5.91
5290,Estevez,C,Parma,5.71
6984,Ondrejka,C,Parma,5.59
7145,Piccinini G.,C,Pisa,5.83
7157,Iannoni,C,Sassuolo,6.62
5540,Niasse,C,Verona,5.88
6218,Oristanio,C,Parma,5.67
4479,Elmas,C,Napoli,5.72
6106,Carboni V.,C,Genoa,5.6
5685,Koopmeiners,C,Juventus,5.53
5457,Maleh,C,Cremonese,5.72
4856,Chukwueze,C,Milan,5.5
5319,Sohm,C,Bologna,5.61
7149,Marin M.,C,Pisa,5.72
6271,El Aynaoui,C,Roma,5.95
6246,Lipani,C,Sassuolo,5.83
4890,Tameze,C,Torino,5.59
6170,Gineitis,C,Torino,5.69
4896,Maldini,C,Lazio,5.79
4284,Sergi Roberto,C,Como,5.79
2848,Frattesi,C,Inter,6.0
6191,Belahyane,C,Lazio,5.69
4459,Rovella,C,Lazio,5.83
6629,Dele-Bashiru,C,Lazio,5.71
6410,Kaba,C,Lecce,5.73
6634,Tete Morente,C,Lecce,5.57
5007,Ilic,C,Torino,5.86
5850,Lovric,C,Verona,5.75
5688,Harroui,C,Verona,5.69
7203,Jashari,C,Milan,5.88
7208,Miller L.,C,Udinese,5.75
6677,Adzic,C,Juventus,6.88
7010,Al-Musrati,C,Verona,5.62
4349,Nicolussi Caviglia,C,Parma,5.61
