ID,Giocatore,Posizione,Squadra,Mediavoto
7314,Taylor K.,C,Lazio,5.75
5559,Da Cunha,C,Como,6.17
7133,Vandeputte,C,Cremonese,6.12
449,Vazquez,C,Cremonese,6.15
5674,Basic,C,Lazio,6.13
4186,Guendouzi,C,Lazio,6.16
632,Zaccagni,C,Lazio,6.0
5504,Coulibaly L.,C,Lecce,6.08
5453,Ricci S.,C,Milan,6.12
1976,Mazzitelli,C,Cagliari,6.33
2077,Pasalic,C,Atalanta,5.94
5036,Caqueret,C,Como,6.16
6015,Berisha M.,C,Lecce,6.17
779,Cristante,C,Roma,6.11
5844,Thorstvedt,C,Sassuolo,6.12
5735,Volpato,C,Sassuolo,6.25
2839,Sottil,C,Lecce,6.03
5792,Ederson D.S.,C,Atalanta,6.11
6640,Felici,C,Cagliari,6.05
7070,Sucic P.,C,Inter,6.09
5813,Miretti,C,Juventus,6.22
2334,Leris,C,Pisa,6.02
6815,Fadera,C,Sassuolo,5.9
6458,Serdar,C,Verona,6.0
2528,Matic,C,Sassuolo,6.09
4947,Brescianini,C,Fiorentina,6.06
5119,Samardzic,C,Atalanta,5.96
5298,Pobega,C,Bologna,5.88
5791,Frendrup,C,Genoa,6.02
6020,Ellertsson,C,Genoa,5.9
2529,Mkhitaryan,C,Inter,6.12
4686,Fofana Y.,C,Milan,5.92
4287,Lobotka,C,Napoli,6.08
536,Politano,C,Napoli,6.02
6680,Karlstrom,C,Udinese,5.98
22,De Roon,C,Atalanta,6.08
7146,Tourè I.,C,Pisa,5.9
5318,Tramoni M.,C,Pisa,5.76
7028,Bernede,C,Verona,5.85
5761,Zhegrova,C,Juventus,6.07
5651,Harrison,C,Fiorentina,5.5
6054,Moro N.,C,Bologna,5.88
6206,Fabbian,C,Fiorentina,5.82
6252,Folorunsho,C,Cagliari,6.03
4465,Fagioli,C,Fiorentina,5.92
6898,Keita M.,C,Parma,5.93
5888,Casadei,C,Torino,5.82
7198,Piotrowski,C,Udinese,5.9
2670,Bailey,C,Roma,5.7
6844,Rowe,C,Bologna,6.07
801,Gagliardini,C,Verona,5.97
5784,Aebischer,C,Pisa,5.84
4870,Adopo,C,Cagliari,5.76
4970,Messias,C,Genoa,6.14
5301,Luis Henrique,C,Inter,5.88
795,El Shaarawy,C,Roma,6.09
6481,Payero,C,Cremonese,6.03
7254,Lorran,C,Pisa,5.88
7318,Gandelman,C,Lecce,5.88
7331,Loyola,C,Pisa,5.5
5858,Ferguson,C,Bologna,5.93
6424,Prati,C,Torino,5.88
6294,Ndour,C,Fiorentina,5.72
181,Vecino,C,Lazio,5.92
6549,Pierotti,C,Lecce,5.77
5992,Bondo,C,Cremonese,5.9
5998,Zerbin,C,Cremonese,5.79
5131,Gilmour,C,Napoli,6.0
6593,Akinsanmiro,C,Pisa,6.0
6190,Pisilli,C,Roma,6.07
7209,Sorensen O.,C,Parma,5.8
7223,Vergara,C,Napoli,6.5
4479,Elmas,C,Napoli,5.69
6024,Sulemana I.,C,Cagliari,5.88
788,Freuler,C,Bologna,6.0
184,Bernardeschi,C,Bologna,5.79
1871,Deiola,C,Cagliari,6.04
27,Grassi,C,Cremonese,5.72
6917,Masini,C,Genoa,5.93
