Team,Ruolo,Giocatore,Squadra,PrezzoAcquisto,PrezzoAttuale
BinuSpuntu,C,Paz N.,Como,21.0,30.0
BinuSpuntu,C,Saelemaekers,Milan,12.0,19.0
BinuSpuntu,A,Benedyczak,Parma,1.0,8.0
BinuSpuntu,A,Bonazzoli,Cremonese,1.0,20.0
BinuSpuntu,A,David,Juventus,16.0,13.0
BinuSpuntu,A,Hojlund,Napoli,21.0,25.0
BinuSpuntu,A,Kean,Fiorentina,33.0,18.0
Boiali,P,Maignan,Milan,16.0,20.0
Boiali,P,Terracciano,Milan,1.0,1.0
Boiali,P,Torriani,Milan,1.0,1.0
Boiali,D,Canestrelli,Pisa,3.0,5.0
Boiali,D,Delprato,Parma,8.0,9.0
Boiali,D,Frese,Verona,3.0,6.0
Boiali,D,Ghilardi,Roma,4.0,4.0
Boiali,D,Ramon,Como,4.0,12.0
Boiali,D,Tiago Gabriel,Lecce,1.0,9.0
Boiali,D,Vasquez,Genoa,9.0,10.0
Boiali,C,Atta,Udinese,8.0,16.0
Boiali,C,Ilkhan,Torino,1.0,2.0
Boiali,C,McTominay,Napoli,26.0,25.0
Boiali,C,Paz N.,Como,21.0,30.0
Boiali,C,Tramoni M.,Pisa,12.0,9.0
Boiali,C,Zaccagni,Lazio,26.0,14.0
Boiali,C,Zaniolo,Udinese,15.0,20.0
Boiali,C,Zerbin,Cremonese,3.0,6.0
Boiali,A,Banda,Lecce,5.0,11.0
Boiali,A,Giovane,Verona,1.0,17.0
Boiali,A,Kean,Fiorentina,33.0,18.0
Boiali,A,Martinez L.,Inter,34.0,34.0
Boiali,A,Vlahovic,Juventus,21.0,15.0
CISCO TEAM,P,Maignan,Milan,16.0,20.0
CISCO TEAM,P,Milinkovic-Savic V.,Napoli,4.0,19.0
CISCO TEAM,P,Terracciano,Milan,1.0,1.0
CISCO TEAM,D,Cambiaso,Juventus,15.0,10.0
CISCO TEAM,D,Canestrelli,Pisa,3.0,5.0
CISCO TEAM,D,Doig,Sassuolo,6.0,6.0
CISCO TEAM,D,Martin,Genoa,10.0,14.0
CISCO TEAM,D,Norton-Cuffy,Genoa,3.0,7.0
CISCO TEAM,D,Tiago Gabriel,Lecce,1.0,9.0
CISCO TEAM,D,Valeri,Parma,10.0,10.0
CISCO TEAM,C,Aebischer,Pisa,4.0,5.0
CISCO TEAM,C,Asllani,Torino,4.0,3.0
CISCO TEAM,C,Marchwinski,Lecce,1.0,1.0
CISCO TEAM,C,Paz N.,Como,21.0,30.0
CISCO TEAM,C,Pellegrini Lo.,Roma,16.0,14.0
CISCO TEAM,C,Prati,Cagliari,4.0,6.0
CISCO TEAM,C,Pulisic,Milan,28.0,31.0
CISCO TEAM,C,Zaccagni,Lazio,26.0,14.0
CISCO TEAM,A,Giovane,Verona,1.0,17.0
CISCO TEAM,A,Hojlund,Napoli,21.0,25.0
CISCO TEAM,A,Lucca,Roma,15.0,5.0
CISCO TEAM,A,Martinez L.,Inter,34.0,34.0
CISCO TEAM,A,Vlahovic,Juventus,21.0,15.0
CLAN,P,Di Gregorio,Juventus,16.0,16.0
CLAN,P,Perin,Juventus,1.0,3.0
CLAN,P,Silvestri,Cremonese,1.0,1.0
CLAN,D,Canestrelli,Pisa,3.0,5.0
CLAN,D,Comuzzo,Fiorentina,8.0,7.0
CLAN,D,Cuadrado,Pisa,7.0,8.0
CLAN,D,Gutierrez,Napoli,7.0,3.0
CLAN,D,Lazaro,Torino,7.0,7.0
CLAN,D,Tavares N.,Lazio,12.0,6.0
CLAN,D,Wesley,Roma,14.0,16.0
CLAN,C,Asllani,Torino,4.0,3.0
CLAN,C,Bernardeschi,Bologna,9.0,5.0
CLAN,C,Folorunsho,Cagliari,9.0,8.0
CLAN,C,Malinovskyi,Genoa,7.0,12.0
CLAN,C,McTominay,Napoli,26.0,25.0
CLAN,C,Modric,Milan,12.0,19.0
CLAN,C,Zaccagni,Lazio,26.0,14.0
CLAN,C,Zalewski,Atalanta,6.0,15.0
CLAN,A,Esposito Se.,Cagliari,7.0,16.0
CLAN,A,Lookman,Atalanta,19.0,14.0
CLAN,A,Rodriguez Je.,Como,6.0,12.0
CLAN,A,Thuram,Inter,31.0,29.0
CLAN,A,Zapata D.,Torino,10.0,7.0
Collocolo Team,P,Gollini,Roma,1.0,1.0
Collocolo Team,P,Martinez Jo.,Inter,2.0,1.0
Collocolo Team,P,Sommer,Inter,16.0,14.0
Collocolo Team,D,Belghali,Verona,8.0,11.0
Collocolo Team,D,Di Lorenzo,Napoli,14.0,12.0
Collocolo Team,D,Estupinan,Milan,11.0,3.0
Collocolo Team,D,Martin,Genoa,10.0,14.0
Collocolo Team,D,Norton-Cuffy,Genoa,3.0,7.0
Collocolo Team,D,Sernicola,Cremonese,1.0,1.0
Collocolo Team,D,Valeri,Parma,10.0,10.0
Collocolo Team,C,Atta,Udinese,8.0,16.0
Collocolo Team,C,Basic,Lazio,1.0,14.0
Collocolo Team,C,Gudmundsson A.,Fiorentina,17.0,17.0
Collocolo Team,C,Isaksen,Lazio,14.0,14.0
Collocolo Team,C,Marchwinski,Lecce,1.0,1.0
Collocolo Team,C,Politano,Napoli,15.0,11.0
Collocolo Team,C,Pulisic,Milan,28.0,31.0
Collocolo Team,C,Rog,Cagliari,1.0,1.0
Collocolo Team,A,Buffon L.,Pisa,1.0,1.0
Collocolo Team,A,Kean,Fiorentina,33.0,18.0
Collocolo Team,A,Leao,Milan,26.0,30.0
Collocolo Team,A,Martinez L.,Inter,34.0,34.0
Collocolo Team,A,Pellegrino M.,Parma,13.0,21.0
Concali Craboni FC,P,Furlanetto,Lazio,1.0,1.0
Concali Craboni FC,P,Mandas,Lazio,3.0,1.0
Concali Craboni FC,P,Provedel,Lazio,12.0,17.0
Concali Craboni FC,D,Akanji,Inter,9.0,11.0
Concali Craboni FC,D,Baschirotto,Cremonese,8.0,13.0
Concali Craboni FC,D,Canestrelli,Pisa,3.0,5.0
Concali Craboni FC,D,Dimarco,Inter,27.0,29.0
Concali Craboni FC,D,Mina,Cagliari,7.0,8.0
Concali Craboni FC,D,Palestra,Cagliari,4.0,15.0
Concali Craboni FC,D,Valle,Como,6.0,8.0
Concali Craboni FC,C,Akinsanmiro,Pisa,3.0,7.0
Concali Craboni FC,C,Barella,Inter,14.0,17.0
Concali Craboni FC,C,Berisha M.,Lecce,3.0,13.0
Concali Craboni FC,C,Paz N.,Como,21.0,30.0
Concali Craboni FC,C,Pulisic,Milan,28.0,31.0
Concali Craboni FC,C,Tourè I.,Pisa,6.0,10.0
Concali Craboni FC,C,Vranckx,Sassuolo,4.0,3.0
Concali Craboni FC,C,Zambo Anguissa,Napoli,16.0,19.0
Concali Craboni FC,A,Bonazzoli,Cremonese,1.0,20.0
Concali Craboni FC,A,David,Juventus,16.0,13.0
Concali Craboni FC,A,Douvikas,Como,19.0,21.0
Concali Craboni FC,A,Esposito Se.,Cagliari,7.0,16.0
Concali Craboni FC,A,Simeone,Torino,18.0,19.0
CuginiDiCampagna,P,Carnesecchi,Atalanta,14.0,17.0
CuginiDiCampagna,P,Rossi F.,Atalanta,1.0,1.0
CuginiDiCampagna,P,Sportiello,Atalanta,1.0,1.0
CuginiDiCampagna,D,Angelino,Roma,15.0,7.0
