Giocatore,Posizione,Squadra,Ammonizioni
Politano,C,Napoli,1
Posch *,,Como,1
Provedel,P,Lazio,1
Provstgaard,D,Lazio,1
Ricci S.,C,Milan,1
Rinaldi,,Parma,1
Rodriguez Je.,A,Como,1
Samardzic,,Atalanta,1
Sava,P,Udinese,1
Scalvini,D,Atalanta,1
Skorupski,P,Bologna,1
Sottil,,Lecce,1
Soulè,A,Roma,1
Spinazzola,,Napoli,1
Stulic,A,Lecce,1
Sulemana I.,,Cagliari,1
Suzuki,,Parma,1
Tavares N.,D,Lazio,1
Taylor K.,,Lazio,1
Tsimikas,,Roma,1
Vanoli,,Fiorentina,1
Vazquez *,,Cremonese,1
Vecino *,,Lazio,1
Vergara,C,Napoli,1
Zalewski,C,Atalanta,1
Zambo Anguissa,C,Napoli,1
Zanoli,,Udinese,1
Zaragoza,C,Roma,1
Zarraga,C,Udinese,1
Zè Pedro,D,Cagliari,1
Zerbin,C,Cremonese,1
Zortea,,Bologna,1
