Giocatore,Posizione,Squadra,Fantamedia
Vural,C,Pisa,5.62
Dele-Bashiru,C,Lazio,5.61
Carboni V. *,C,Genoa,5.6
Gaspar K.,D,Lecce,5.6
Moro L.,A,Sassuolo,5.6
Moumbagna,A,Cremonese,5.6
Zarraga,C,Udinese,5.6
Pongracic,D,Fiorentina,5.59
Tameze,C,Torino,5.59
Unai Nunez *,D,Verona,5.59
Valentini N.,D,Verona,5.59
Goglichidze *,D,Udinese,5.58
Hojholt,C,Pisa,5.58
Lovik *,D,Parma,5.58
Ehizibue,D,Udinese,5.57
Sohm,C,Bologna,5.57
Tete Morente *,C,Lecce,5.57
Biraghi,D,Torino,5.56
Bonfanti *,D,Pisa,5.56
Candè,D,Sassuolo,5.56
Casale,D,Bologna,5.56
Dzeko *,A,Fiorentina,5.56
Estupinan,D,Milan,5.56
Lykogiannis,D,Bologna,5.56
Koopmeiners,C,Juventus,5.55
Pezzella Giu.,D,Cremonese,5.55
Olivera,D,Napoli,5.54
Vranckx,C,Sassuolo,5.54
Juan Jesus,D,Napoli,5.53
Ambrosino *,A,Napoli,5.5
Chukwueze,C,Milan,5.5
Di Pardo *,D,Cagliari,5.5
Ebosse,D,Torino,5.5
Fini *,C,Genoa,5.5
Gimenez,A,Milan,5.5
Gorter,C,Lecce,5.5
Helgason,C,Lecce,5.5
Hysaj,D,Lazio,5.5
Immobile *,A,Bologna,5.5
Kouassi *,D,Lecce,5.5
Kulenovic,A,Torino,5.5
Lirola,D,Verona,5.5
Mazzocchi,D,Napoli,5.5
Onana J.,C,Genoa,5.5
Palma *,D,Udinese,5.5
Richardson *,C,Fiorentina,5.5
Rodriguez Ju.,D,Cagliari,5.5
Romagna,D,Sassuolo,5.5
Sabiri,C,Fiorentina,5.5
Siebert,D,Lecce,5.5
Stojilkovic,A,Pisa,5.5
Zè Pedro,D,Cagliari,5.5
Nelsson,D,Verona,5.48
Butez,P,Como,5.44
Gueye,A,Udinese,5.42
Sabelli,D,Genoa,5.4
Coulibaly W.,D,Sassuolo,5.38
Falcone,P,Lecce,5.38
Provedel,P,Lazio,5.38
Vitik,D,Fiorentina,5.33
Marì,D,Fiorentina,5.3
Ceccherini,D,Cremonese,5.29
Asllani *,C,Torino,5.25
Denoon,D,Pisa,5.25
Gronbaek *,C,Genoa,5.25
Padelli,P,Udinese,5.25
Otoa,D,Genoa,5.21
Di Gregorio,P,Juventus,5.18
Audero,P,Cremonese,5.17
Bozhinov,D,Pisa,5.17
Cham,D,Verona,5.17
Morata,A,Como,5.12
Skorupski,P,Bologna,5.12
Troilo,D,Parma,5.11
Ndiaye,D,Parma,5.07
Sommer,P,Inter,5.04
Dembelè A. *,D,Torino,5.0
Jimenez A.,D,Milan,5.0
Oyegoke,D,Verona,5.0
Perez M.,D,Lecce,5.0
Perin,P,Juventus,5.0
Suzuki,P,Parma,4.95
Caprile,P,Cagliari,4.94
Leali,P,Genoa,4.8
Meret,P,Napoli,4.79
Corvi,P,Parma,4.77
Okoye,P,Udinese,4.76
Stanciu *,C,Genoa,4.75
De Gea,P,Fiorentina,4.74
Semper,P,Pisa,4.71
Coppola F.,D,Pisa,4.67
Montipò,P,Verona,4.66
Silvestri,P,Cremonese,4.62
Muric,P,Sassuolo,4.58
Paleari,P,Torino,4.53
Cornet,C,Genoa,4.5
Dossena,D,Cagliari,4.5
Ravaglia F.,P,Bologna,4.46
Scuffet,P,Pisa,4.07
Bijlow,P,Genoa,4.0
Nicolas,P,Pisa,4.0
Israel,P,Torino,3.83
Perilli,P,Verona,3.83
Sommariva,P,Genoa,3.75
Sava,P,Udinese,3.5
Turati,P,Sassuolo,3.5
