Giocatore,Posizione,Squadra,Gol
Ekhator,A,Genoa,2
Ekkelenkamp,C,Udinese,2
Felici,C,Cagliari,2
Gaetano,C,Cagliari,2
Gosens,D,Fiorentina,2
Isaksen,A,Lazio,2
Kabasele,D,Udinese,2
Konè M.,C,Roma,2
Kostic,C,Juventus,2
Lookman,A,Atalanta,2
Malinovskyi,C,Genoa,2
McKennie,C,Juventus,2
Meister,A,Pisa,2
N'Dri,A,Lecce,2
Noslin,A,Lazio,2
Pasalic,C,Atalanta,2
Pavlovic,D,Milan,2
Pellegrini Lo.,C,Roma,2
Perrone,C,Como,2
Piccoli,A,Fiorentina,2
Pobega,C,Bologna,2
Saelemaekers,C,Milan,2
Scalvini,D,Atalanta,2
Serdar,C,Verona,2
Spinazzola,D,Napoli,2
Stulic,A,Lecce,2
Sulemana K.,A,Atalanta,2
Terracciano F.,D,Cremonese,2
Thorsby,C,Genoa,2
Thorstvedt,C,Sassuolo,2
Tramoni M.,C,Pisa,2
Vitinha O.,A,Genoa,2
Adopo,C,Cagliari,1
Adzic,C,Juventus,1
Athekame,D,Milan,1
Atta,C,Udinese,1
Baldanzi,C,Roma,1
Barella,C,Inter,1
Basic,C,Lazio,1
Bastoni,D,Inter,1
Benedyczak,A,Parma,1
Bernardeschi,C,Bologna,1
Bernede,C,Verona,1
Beukema,D,Napoli,1
Bisseck,D,Inter,1
Bremer,D,Juventus,1
Brescianini,C,Fiorentina,1
Buksa,A,Udinese,1
C. Ngonge,A,Torino,1
Camarda,A,Lecce,1
Cambiaso,D,Juventus,1
Carlos Augusto,D,Inter,1
Celik,D,Roma,1
Cheddira,A,Lecce,1
Circati,D,Parma,1
Coco,D,Torino,1
Comuzzo,D,Fiorentina,1
Cristante,C,Roma,1
Cuadrado,D,Pisa,1
Da Cunha,C,Como,1
Dallinga,A,Bologna,1
Delprato,D,Parma,1
Di Lorenzo,D,Napoli,1
Dia,A,Lazio,1
Dumfries,D,Inter,1
Durosinmi,A,Pisa,1
Ekuban,A,Genoa,1
Ellertsson,C,Genoa,1
F. Vazquez,C,Cremonese,1
Fabbian,C,Fiorentina,1
Fadera,A,Sassuolo,1
Fofana Y.,C,Milan,1
Folino,D,Cremonese,1
Folorunsho,C,Cagliari,1
Frendrup,C,Genoa,1
Frese,D,Verona,1
Fullkrug,A,Milan,1
Gagliardini,C,Verona,1
Gatti,D,Juventus,1
Gilmour,C,Napoli,1
Hermoso,D,Roma,1
Hien,D,Atalanta,1
Holm,D,Bologna,1
Iannoni,C,Sassuolo,1
Idrissi R.,D,Cagliari,1
Johnsen,A,Cremonese,1
Karlstrom,C,Udinese,1
Kelly L.,D,Juventus,1
Kilicsoy,A,Cagliari,1
Kossounou,D,Atalanta,1
Kristensen T.,D,Udinese,1
L. Lucca,A,Napoli,1
Leris,C,Pisa,1
Lobotka,C,Napoli,1
Loftus-Cheek,C,Milan,1
Lorran,C,Pisa,1
Lucumì,D,Bologna,1
Luperto,D,Cagliari,1
Malen,A,Roma,1
Maripan,D,Torino,1
Martin,D,Genoa,1
Matic,C,Sassuolo,1
Mazzitelli,C,Cagliari,1
Mina,D,Cagliari,1
Miranda J.,D,Bologna,1
Miretti,C,Juventus,1
Mkhitaryan,C,Inter,1
Modric,C,Milan,1
Moreno Alb.,D,Como,1
Moro N.,C,Bologna,1
Muharemovic,D,Sassuolo,1
N. Lang,A,Napoli,1
Ndour,C,Fiorentina,1
Njie,A,Torino,1
Norton-Cuffy,D,Genoa,1
Openda,A,Juventus,1
P. Cutrone,A,Parma,1
Payero,C,Cremonese,1
Pedro,A,Lazio,1
Piotrowski,C,Udinese,1
Ramon,D,Como,1
Ranieri L.,D,Fiorentina,1
Ricci S.,C,Milan,1
Rrahmani,D,Napoli,1
S. Posch,D,Como,1
Samardzic,C,Atalanta,1
Sanabria,A,Cremonese,1
Solet,D,Udinese,1
Sorensen O.,C,Parma,1
Sottil,C,Lecce,1
Sucic P.,C,Inter,1
Thuram K.,C,Juventus,1
Tiago Gabriel,D,Lecce,1
Tourè I.,C,Pisa,1
Trepy,A,Cagliari,1
Vojvoda,D,Como,1
Volpato,C,Sassuolo,1
Zalewski,C,Atalanta,1
